Carrier Name,MC Number,DOT Number,SCAC,Authority Status,Insurance Status,Auto Liability,Cargo Insurance,General Liability,Safety Rating,CSA Score,Out of Service Rate,Power Units,Drivers,Equipment Types,Home State,Payment Terms,Reliability Score,Risk Score,Last Verified,Insurance Expiry,Contract Status
Ozark Trucking Corp,MC-106789,1835112,OZRK,Active,Active,"$1,000,000","$500,000","$1,000,000",Satisfactory,57,23.7%,75,100,Reefer/Dry Van,OH,Net 30,63,Medium,2026-02-05,2026-10-29,Active
Prairie Land Freight,MC-217890,2192738,PRLD,Conditional,Active,"$1,000,000","$250,000","$1,000,000",Conditional,31,15.3%,5,5,Flatbed,FL,Net 45,75,High,2026-01-31,2026-07-28,Active
Tidewater Carriers Inc,MC-328901,2257157,TDWT,Active,Active,"$1,000,000","$500,000","$500,000",Satisfactory,47,7.2%,51,74,Dry Van/Flatbed,TN,Net 30,80,Low,2026-03-11,2026-06-13,Active
Iron Horse Transport,MC-439012,1222303,IRNH,Active,Lapsed,"$1,000,000","$250,000","$1,000,000",Satisfactory,23,16.3%,330,355,Flatbed,CT,Net 15,78,High,2026-01-29,2025-12-02,Expired
Delta Freight Systems,MC-540123,3525981,DLTF,Active,Active,"$750,000","$250,000","$1,000,000",Satisfactory,94,6.0%,153,214,Reefer,FL,Net 15,83,Medium,2026-02-06,2026-11-07,Active
Cascade Logistics LLC,MC-651234,1905493,CSCD,Active,Active,"$1,000,000","$250,000","$2,000,000",None,61,4.7%,103,126,Reefer/Dry Van,MO,Net 15,87,Low,2026-03-15,2026-06-05,Pending
Frontier Freight Inc,MC-762345,3898568,FRNT,Active,Active,"$1,000,000","$500,000","$2,000,000",None,34,5.5%,54,58,Dry Van/Flatbed,IL,Quick Pay,58,High,2026-02-21,2026-07-30,Active
Old Dominion Express,MC-873456,3062336,OLDM,Active,Expired,"$1,000,000","$250,000","$2,000,000",Satisfactory,23,15.5%,74,100,Flatbed,OH,Net 30,83,Low,2026-03-20,2026-02-18,Active
Razorback Hauling Co,MC-984567,2630434,RZBK,Active,Active,"$750,000","$500,000","$500,000",Conditional,49,18.0%,137,173,Reefer,VA,Net 30,88,Low,2026-02-03,2026-06-17,Active
Granite State Transport,MC-195678,1904373,GRST,Active,Active,"$750,000","$250,000","$1,000,000",Satisfactory,83,11.8%,54,71,Dry Van,TX,Net 30,91,Low,2026-02-15,2026-12-26,Expired
Bayou Freight LLC,MC-206789,2108252,BYOU,Active,Lapsed,"$500,000","$500,000","$1,000,000",Satisfactory,48,3.6%,213,281,Reefer/Dry Van/Flatbed,AL,Net 30,76,Medium,2026-02-27,2026-01-05,Active
Catawba Carriers Inc,MC-317890,1093640,CTWB,Active,Active,"$500,000","$100,000","$1,000,000",Satisfactory,28,15.1%,122,180,Dry Van,ID,Net 30,82,Medium,2026-01-23,2026-10-30,Active
Dogwood Transport Co,MC-428901,3438924,DGWD,Active,Active,"$1,000,000","$100,000","$2,000,000",Satisfactory,41,23.5%,328,369,Reefer,NJ,Quick Pay,51,Medium,2026-02-28,2026-10-31,Active
Flint River Freight,MC-539012,3943520,FLRV,Active,Active,"$750,000","$100,000","$2,000,000",Satisfactory,32,17.7%,250,306,Dry Van/Flatbed,SC,Net 30,79,High,2026-02-02,2026-04-15,Pending
High Plains Trucking,MC-640123,2836911,HPLT,Active,Active,"$1,000,000","$250,000","$1,000,000",Conditional,23,13.8%,57,58,Reefer/Dry Van/Flatbed,WI,Quick Pay,80,Low,2026-02-18,2026-06-13,Active
