Movement ID,Customer,Origin City,Origin State,Dest City,Dest State,Ship Date,Del Date,Equipment,Weight,Miles,Customer Charge,Carrier Pay,Fuel Surcharge,Margin,Margin %,Status,Commodity,Carrier Name,Carrier MC,Temperature
CW-70011,PepsiCo,Camden,NJ,Toledo,OH,2025-06-26,2025-06-27,Dry Van,38159,404,842,717,114,125,14.8,dispatched,Beverages,Pinnacle Freight LLC,MC-319873,
CW-70012,PepsiCo,Valdosta,GA,Akron,OH,2025-12-06,2025-12-08,Dry Van,39162,667,1631,1380,135,251,15.4,delivered,Beverages,Blue Ridge Transport,MC-269879,
CW-70013,PepsiCo,Battle Creek,MI,Daytona Beach,FL,2025-11-16,2025-11-18,Reefer,41975,1063,3095,2697,354,398,12.9,delivered,Snack Foods,Gulf Coast Carriers,MC-259166,34F
CW-70014,PepsiCo,Fort Myers,FL,Joliet,IL,2026-02-24,2026-02-27,Reefer,41058,1022,3382,2953,379,429,12.7,delivered,Sports Drinks,Empire State Trucking,MC-287734,34F
CW-70015,PepsiCo,Augusta,GA,Trenton,NJ,2025-09-11,2025-09-14,Reefer,39692,822,2315,2002,316,313,13.5,delivered,Beverages,Heartland Trucking Co,MC-277021,34F
CW-70016,PepsiCo,Roanoke,VA,Spartanburg,SC,2026-03-14,2026-03-16,Dry Van,42961,375,793,679,105,114,14.4,delivered,Beverages,Shenandoah Freight,MC-323444,
CW-70017,PepsiCo,Miami,FL,Spartanburg,SC,2025-06-01,2025-06-03,Dry Van,30057,467,959,831,86,128,13.3,covered,Snack Foods,Tri-State Hauling Inc,MC-291305,
CW-70018,PepsiCo,Pensacola,FL,Chattanooga,TN,2025-06-30,2025-07-01,Reefer,34776,657,1860,1713,218,147,7.9,delivered,Sports Drinks,Allegheny Freight Co,MC-309160,34F
CW-70019,PepsiCo,Tampa,FL,Springfield,IL,2025-12-25,2025-12-27,Dry Van,37364,1059,2434,2029,294,405,16.6,delivered,Snack Foods,Badger Freight Inc,MC-312731,
CW-70020,PepsiCo,Tampa,FL,Battle Creek,MI,2025-10-23,2025-10-26,Dry Van,37612,1142,2432,1981,264,451,18.5,delivered,Snack Foods,Wolverine Freight Inc,MC-302018,
CW-70021,PepsiCo,Daytona Beach,FL,Knoxville,TN,2025-11-30,2025-12-02,Flatbed,22134,613,1619,1405,187,214,13.2,delivered,Snack Foods,Tri-State Hauling Inc,MC-291305,
CW-70022,PepsiCo,Peoria,IL,Evansville,IN,2025-06-22,2025-06-23,Reefer,36497,223,680,558,81,122,17.9,delivered,Beverages,Northstar Logistics,MC-305589,34F
CW-70023,PepsiCo,Norfolk,VA,Greensboro,NC,2025-09-19,2025-09-20,Reefer,40407,154,680,401,57,279,41.0,delivered,Snack Foods,Volunteer Express Inc,MC-244882,34F
CW-70024,PepsiCo,Newark,NJ,Harrisburg,PA,2025-07-09,2025-07-10,Reefer,34820,121,680,353,37,327,48.1,delivered,Beverages,Mountain West Transport,MC-237740,34F
CW-70025,PepsiCo,Albany,GA,Charlotte,NC,2026-03-04,2026-03-06,Reefer,38733,375,1123,957,143,166,14.8,delivered,Beverages,Allegheny Freight Co,MC-309160,34F
CW-70026,PepsiCo,Columbus,OH,Flint,MI,2025-10-21,2025-10-22,Dry Van,31756,241,680,481,77,199,29.3,dispatched,Sports Drinks,Keystone Carriers Inc,MC-252024,
CW-70027,PepsiCo,Ocala,FL,Scranton,PA,2025-07-11,2025-07-14,Reefer,32457,978,3171,2636,333,535,16.9,open,Beverages,Northstar Logistics,MC-305589,34F
CW-70028,PepsiCo,Dayton,OH,Camden,NJ,2025-11-20,2025-11-22,Reefer,30283,438,1182,987,159,195,16.5,in_transit,Sports Drinks,Cardinal Logistics LLC,MC-280592,34F
CW-70029,PepsiCo,Toledo,OH,Fayetteville,NC,2025-10-17,2025-10-18,Reefer,39368,547,1483,1330,131,153,10.3,dispatched,Snack Foods,Volunteer Express Inc,MC-244882,34F
CW-70030,PepsiCo,Tampa,FL,Kalamazoo,MI,2026-02-23,2026-02-26,Reefer,39692,1127,3408,3254,354,154,4.5,in_transit,Snack Foods,Redline Freight Corp,MC-284163,34F
CW-70031,PepsiCo,Dalton,GA,Fayetteville,NC,2025-10-03,2025-10-04,Dry Van,33092,370,789,678,63,111,14.1,in_transit,Snack Foods,Carolina Freight Corp,MC-273450,
CW-70032,PepsiCo,Newark,NJ,Scranton,PA,2026-02-15,2026-02-17,Reefer,40390,159,680,439,47,241,35.4,delivered,Sports Drinks,Volunteer Express Inc,MC-244882,34F
CW-70033,PepsiCo,Tampa,FL,Richmond,VA,2025-03-30,2025-04-01,Flatbed,33088,905,2285,1860,265,425,18.6,delivered,Sports Drinks,Patriot Trucking Corp,MC-230598,
CW-70034,PepsiCo,Pensacola,FL,Roanoke,VA,2025-12-12,2025-12-14,Reefer,40996,926,2832,2500,350,332,11.7,delivered,Snack Foods,Heartland Trucking Co,MC-277021,34F
CW-70035,PepsiCo,Daytona Beach,FL,Savannah,GA,2025-12-07,2025-12-09,Reefer,41345,300,901,775,115,126,14.0,delivered,Beverages,Eagle Freight Inc,MC-227027,34F
CW-70036,PepsiCo,Jacksonville,FL,Chattanooga,TN,2025-12-03,2025-12-05,Reefer,31193,664,1871,1523,173,348,18.6,delivered,Beverages,Empire State Trucking,MC-287734,34F
CW-70037,PepsiCo,Cherry Hill,NJ,Savannah,GA,2025-04-21,2025-04-24,Dry Van,37256,802,1583,1301,187,282,17.8,in_transit,Sports Drinks,Heartland Trucking Co,MC-277021,
CW-70038,PepsiCo,Macon,GA,Knoxville,TN,2026-01-05,2026-01-07,Reefer,42349,324,862,840,83,22,2.6,delivered,Beverages,Cardinal Logistics LLC,MC-280592,34F
CW-70039,PepsiCo,Daytona Beach,FL,Newark,NJ,2025-07-15,2025-07-18,Reefer,41405,1086,3242,2805,292,437,13.5,delivered,Sports Drinks,Shenandoah Freight,MC-323444,34F
CW-70040,PepsiCo,Cherry Hill,NJ,Saginaw,MI,2026-03-14,2026-03-17,Reefer,41378,679,2063,1776,178,287,13.9,cancelled,Sports Drinks,Redline Freight Corp,MC-284163,34F
CW-70041,PepsiCo,Fort Myers,FL,Evansville,IN,2026-01-13,2026-01-15,Reefer,33853,914,2845,2506,388,339,11.9,delivered,Beverages,Badger Freight Inc,MC-312731,34F
CW-70042,PepsiCo,Cleveland,OH,Rockford,IL,2025-06-05,2025-06-06,Reefer,35862,396,1221,1009,171,212,17.4,delivered,Snack Foods,Swift Transport LLC,MC-223456,34F
CW-70043,PepsiCo,Raleigh,NC,Dalton,GA,2025-05-08,2025-05-09,Reefer,35003,416,1306,1084,177,222,17.0,open,Sports Drinks,Wolverine Freight Inc,MC-302018,34F
CW-70044,PepsiCo,Philadelphia,PA,Charlotte,NC,2025-06-04,2025-06-06,Dry Van,38252,458,1124,1035,125,89,7.9,delivered,Beverages,Redline Freight Corp,MC-284163,
CW-70045,PepsiCo,Greensboro,NC,Columbia,SC,2026-01-15,2026-01-16,Reefer,41983,186,680,524,72,156,22.9,delivered,Sports Drinks,Redline Freight Corp,MC-284163,34F
CW-70046,PepsiCo,Macon,GA,Knoxville,TN,2025-10-04,2025-10-05,Dry Van,29624,244,680,550,76,130,19.1,delivered,Beverages,Northstar Logistics,MC-305589,
CW-70047,PepsiCo,Fort Myers,FL,Spartanburg,SC,2025-03-29,2025-03-30,Reefer,35835,519,1665,1382,224,283,17.0,delivered,Sports Drinks,Great Lakes Express,MC-262737,34F
CW-70048,PepsiCo,Flint,MI,Ocala,FL,2025-09-18,2025-09-20,Reefer,36462,1060,3178,2760,440,418,13.2,delivered,Snack Foods,Buckeye Freight Systems,MC-248453,34F
CW-70049,PepsiCo,Flint,MI,Harrisonburg,VA,2025-10-11,2025-10-13,Dry Van,37387,626,1474,1294,143,180,12.2,delivered,Beverages,Hoosier Express LLC,MC-316302,
CW-70050,PepsiCo,Akron,OH,Philadelphia,PA,2025-11-17,2025-11-18,Reefer,32135,368,1094,958,94,136,12.4,delivered,Beverages,Pinnacle Freight LLC,MC-319873,34F
CW-70051,PepsiCo,Macon,GA,Fort Myers,FL,2025-04-08,2025-04-09,Flatbed,37112,338,979,834,92,145,14.8,delivered,Sports Drinks,Copperhead Carriers,MC-294876,
CW-70052,PepsiCo,Dayton,OH,Lansing,MI,2025-10-21,2025-10-23,Dry Van,34152,287,680,527,56,153,22.5,delivered,Beverages,Great Lakes Express,MC-262737,
CW-70053,PepsiCo,Albany,GA,Trenton,NJ,2025-06-28,2025-06-30,Flatbed,39036,783,2288,1893,289,395,17.3,delivered,Sports Drinks,Allegheny Freight Co,MC-309160,
CW-70054,PepsiCo,Cincinnati,OH,South Bend,IN,2025-08-03,2025-08-05,Reefer,30517,152,680,365,36,315,46.3,delivered,Snack Foods,Lone Star Freight,MC-266308,34F
CW-70055,PepsiCo,Lakeland,FL,Camden,NJ,2025-05-01,2025-05-03,Reefer,38410,1101,3247,2719,347,528,16.3,delivered,Sports Drinks,Keystone Carriers Inc,MC-252024,34F
CW-70056,PepsiCo,Camden,NJ,Fayetteville,NC,2025-06-21,2025-06-23,Reefer,32361,494,1400,1471,136,-71,-5.1,delivered,Snack Foods,Hoosier Express LLC,MC-316302,34F
CW-70057,PepsiCo,Flint,MI,Trenton,NJ,2026-03-15,2026-03-16,Reefer,33493,664,1755,1431,244,324,18.5,cancelled,Beverages,Allegheny Freight Co,MC-309160,34F
CW-70058,PepsiCo,Charlotte,NC,Elizabeth,NJ,2025-11-03,2025-11-04,Reefer,43598,515,1482,1234,205,248,16.7,delivered,Snack Foods,Coastal Freight Lines,MC-327015,34F
CW-70059,PepsiCo,Flint,MI,Savannah,GA,2025-04-20,2025-04-23,Reefer,31690,830,2470,2104,234,366,14.8,delivered,Beverages,Shenandoah Freight,MC-323444,-10F
CW-70060,PepsiCo,Dalton,GA,Durham,NC,2025-10-07,2025-10-09,Reefer,34168,370,1070,917,93,153,14.3,delivered,Sports Drinks,Redline Freight Corp,MC-284163,34F
CW-70061,PepsiCo,Fort Myers,FL,Lansing,MI,2025-12-04,2025-12-07,Dry Van,26505,1115,3044,2542,318,502,16.5,open,Sports Drinks,Seminole Express,MC-298447,
CW-70062,PepsiCo,Jacksonville,FL,Montgomery,AL,2026-01-31,2026-02-01,Dry Van,33763,502,975,823,83,152,15.6,cancelled,Sports Drinks,Carolina Freight Corp,MC-273450,
CW-70063,PepsiCo,Tampa,FL,Trenton,NJ,2025-09-16,2025-09-19,Dry Van,43177,1015,2669,2245,280,424,15.9,in_transit,Snack Foods,Allegheny Freight Co,MC-309160,
CW-70064,PepsiCo,Lakeland,FL,Spartanburg,SC,2026-01-05,2026-01-07,Reefer,39180,497,1518,1250,125,268,17.7,delivered,Sports Drinks,Seminole Express,MC-298447,34F
CW-70065,PepsiCo,Lansing,MI,Cherry Hill,NJ,2025-09-13,2025-09-15,Reefer,41519,663,1787,1450,166,337,18.9,delivered,Beverages,Coastal Freight Lines,MC-327015,34F
CW-70066,PepsiCo,Jacksonville,FL,Huntsville,AL,2026-03-07,2026-03-08,Reefer,41106,472,1262,1066,151,196,15.5,delivered,Snack Foods,Empire State Trucking,MC-287734,-10F
CW-70067,PepsiCo,Flint,MI,Indianapolis,IN,2025-07-01,2025-07-03,Reefer,36415,221,680,629,92,51,7.5,in_transit,Beverages,Redline Freight Corp,MC-284163,34F
CW-70068,PepsiCo,Virginia Beach,VA,Savannah,GA,2025-08-02,2025-08-04,Dry Van,41477,541,1213,991,165,222,18.3,delivered,Snack Foods,Copperhead Carriers,MC-294876,
CW-70069,PepsiCo,Tampa,FL,Detroit,MI,2025-07-10,2025-07-13,Reefer,36262,1068,3162,3004,290,158,5.0,dispatched,Sports Drinks,Eagle Freight Inc,MC-227027,34F
CW-70070,PepsiCo,Fort Myers,FL,Durham,NC,2025-05-25,2025-05-26,Dry Van,27450,605,1319,1127,133,192,14.6,dispatched,Beverages,Carolina Freight Corp,MC-273450,
CW-70071,PepsiCo,Albany,GA,Tampa,FL,2025-12-30,2025-12-31,Reefer,35357,419,1087,919,109,168,15.5,dispatched,Snack Foods,Evergreen Transport LLC,MC-255595,34F
CW-70072,PepsiCo,Pensacola,FL,Allentown,PA,2025-06-22,2025-06-24,Reefer,42194,954,2641,2186,358,455,17.2,in_transit,Snack Foods,Heartland Trucking Co,MC-277021,34F
CW-70073,PepsiCo,Flint,MI,Savannah,GA,2025-08-27,2025-08-29,Flatbed,29534,817,2011,1790,274,221,11.0,in_transit,Snack Foods,Sunbelt Carriers LLC,MC-234169,
CW-70074,PepsiCo,Tallahassee,FL,Roanoke,VA,2025-04-04,2025-04-07,Flatbed,36159,916,2305,1909,195,396,17.2,delivered,Snack Foods,Northstar Logistics,MC-305589,
CW-70075,PepsiCo,Newark,NJ,Columbus,OH,2025-11-13,2025-11-15,Dry Van,43877,522,1392,1524,140,-132,-9.5,delivered,Sports Drinks,Badger Freight Inc,MC-312731,
CW-70076,PepsiCo,Daytona Beach,FL,Chicago,IL,2026-01-05,2026-01-08,Reefer,42255,1068,2784,2401,279,383,13.8,delivered,Snack Foods,Shenandoah Freight,MC-323444,34F
CW-70077,PepsiCo,Tallahassee,FL,Springfield,IL,2026-01-10,2026-01-12,Dry Van,25216,1082,2262,2111,228,151,6.7,cancelled,Beverages,Pinnacle Freight LLC,MC-319873,
CW-70078,PepsiCo,Toledo,OH,Fort Myers,FL,2025-07-18,2025-07-21,Reefer,43401,921,2491,2304,222,187,7.5,covered,Snack Foods,Gulf Coast Carriers,MC-259166,-10F
CW-70079,PepsiCo,Chicago,IL,Grand Rapids,MI,2025-12-22,2025-12-23,Reefer,34132,357,1064,890,144,174,16.4,delivered,Beverages,Gulf Coast Carriers,MC-259166,34F
CW-70080,PepsiCo,Grand Rapids,MI,Chicago,IL,2025-10-23,2025-10-24,Dry Van,34112,357,907,787,118,120,13.2,delivered,Snack Foods,Great Lakes Express,MC-262737,
CW-70081,PepsiCo,Savannah,GA,Greenville,SC,2025-07-10,2025-07-12,Reefer,30326,281,867,754,92,113,13.0,delivered,Beverages,Blue Ridge Transport,MC-269879,34F
CW-70082,PepsiCo,Trenton,NJ,Albany,GA,2026-02-19,2026-02-21,Reefer,35731,752,2123,1725,197,398,18.7,delivered,Beverages,Cardinal Logistics LLC,MC-280592,34F
CW-70083,PepsiCo,Dalton,GA,Chattanooga,TN,2025-07-04,2025-07-05,Flatbed,29493,231,702,598,79,104,14.8,delivered,Snack Foods,Northstar Logistics,MC-305589,
CW-70084,PepsiCo,Lynchburg,VA,Pittsburgh,PA,2025-10-04,2025-10-06,Reefer,31371,341,876,754,102,122,13.9,delivered,Snack Foods,Wolverine Freight Inc,MC-302018,34F
CW-70085,PepsiCo,Durham,NC,Richmond,VA,2025-06-24,2025-06-26,Reefer,37617,209,680,524,78,156,22.9,covered,Beverages,Mountain West Transport,MC-237740,-10F
CW-70086,PepsiCo,Tallahassee,FL,Edison,NJ,2026-02-21,2026-02-23,Dry Van,35252,1101,2828,2430,251,398,14.1,delivered,Sports Drinks,Carolina Freight Corp,MC-273450,
CW-70087,PepsiCo,Akron,OH,Daytona Beach,FL,2025-04-27,2025-04-29,Reefer,35393,889,2684,2335,371,349,13.0,delivered,Beverages,Sunbelt Carriers LLC,MC-234169,34F
CW-70088,PepsiCo,Kalamazoo,MI,Valdosta,GA,2025-04-17,2025-04-19,Reefer,30068,784,2387,2031,283,356,14.9,delivered,Snack Foods,Wolverine Freight Inc,MC-302018,34F
CW-70089,PepsiCo,Peoria,IL,Columbus,GA,2025-10-10,2025-10-12,Reefer,43845,776,2438,2035,267,403,16.5,delivered,Beverages,Mountain West Transport,MC-237740,34F
CW-70090,PepsiCo,Fort Wayne,IN,Harrisburg,PA,2026-01-04,2026-01-05,Reefer,39611,599,1764,1430,229,334,18.9,in_transit,Snack Foods,Volunteer Express Inc,MC-244882,34F
CW-70091,PepsiCo,Fort Myers,FL,Albany,GA,2025-05-30,2025-06-01,Reefer,31086,311,936,793,124,143,15.3,delivered,Sports Drinks,Evergreen Transport LLC,MC-255595,34F
CW-70092,PepsiCo,Dayton,OH,Harrisonburg,VA,2025-10-08,2025-10-10,Dry Van,29277,461,1012,897,112,115,11.4,delivered,Sports Drinks,Coastal Freight Lines,MC-327015,
CW-70093,PepsiCo,Cincinnati,OH,Augusta,GA,2025-06-27,2025-06-28,Reefer,39462,614,1857,1570,154,287,15.5,delivered,Sports Drinks,Great Lakes Express,MC-262737,-10F
CW-70094,PepsiCo,Cherry Hill,NJ,Fayetteville,NC,2025-10-14,2025-10-16,Reefer,38994,512,1341,1258,148,83,6.2,in_transit,Sports Drinks,Allegheny Freight Co,MC-309160,-10F
CW-70095,PepsiCo,Miami,FL,Chicago,IL,2025-04-24,2025-04-27,Dry Van,31625,1083,2078,2255,268,-177,-8.5,delivered,Snack Foods,Badger Freight Inc,MC-312731,
CW-70096,PepsiCo,Columbus,OH,Lakeland,FL,2025-08-08,2025-08-11,Dry Van,38293,933,2400,2085,277,315,13.1,delivered,Snack Foods,Shenandoah Freight,MC-323444,
CW-70097,PepsiCo,Tallahassee,FL,Durham,NC,2025-04-07,2025-04-09,Reefer,39954,727,2080,1928,232,152,7.3,delivered,Beverages,Volunteer Express Inc,MC-244882,34F
CW-70098,PepsiCo,Valdosta,GA,Pittsburgh,PA,2025-04-17,2025-04-20,Dry Van,43738,710,1531,1345,156,186,12.1,delivered,Beverages,Evergreen Transport LLC,MC-255595,
CW-70099,PepsiCo,Jacksonville,FL,South Bend,IN,2026-01-14,2026-01-16,Reefer,41284,919,2758,2426,255,332,12.0,open,Beverages,Hoosier Express LLC,MC-316302,34F
CW-70100,PepsiCo,Lansing,MI,Tallahassee,FL,2026-01-20,2026-01-23,Dry Van,41671,1073,2715,2773,301,-58,-2.1,delivered,Sports Drinks,Badger Freight Inc,MC-312731,
CW-70101,PepsiCo,Jacksonville,FL,Norfolk,VA,2025-05-05,2025-05-08,Dry Van,38004,877,1938,1594,227,344,17.8,delivered,Sports Drinks,Allegheny Freight Co,MC-309160,
CW-70102,PepsiCo,Tampa,FL,Charleston,SC,2025-07-05,2025-07-07,Reefer,41190,536,1344,1252,128,92,6.8,delivered,Snack Foods,Great Lakes Express,MC-262737,34F
CW-70103,PepsiCo,Columbus,OH,Albany,GA,2026-01-03,2026-01-04,Reefer,35295,626,1556,1529,206,27,1.7,delivered,Beverages,Wolverine Freight Inc,MC-302018,-10F
CW-70104,PepsiCo,Grand Rapids,MI,Chicago,IL,2025-12-15,2025-12-17,Flatbed,42070,372,1109,1003,93,106,9.6,delivered,Beverages,Shenandoah Freight,MC-323444,
CW-70105,PepsiCo,Jacksonville,FL,Akron,OH,2026-01-25,2026-01-27,Reefer,34671,974,2757,2326,302,431,15.6,delivered,Sports Drinks,Hoosier Express LLC,MC-316302,34F
CW-70106,PepsiCo,Augusta,GA,Fayetteville,NC,2026-01-10,2026-01-12,Reefer,40517,396,1133,957,101,176,15.5,delivered,Snack Foods,Allegheny Freight Co,MC-309160,34F
CW-70107,PepsiCo,Saginaw,MI,Winston-Salem,NC,2025-06-04,2025-06-06,Flatbed,25044,711,1875,1622,185,253,13.5,delivered,Snack Foods,Sunbelt Carriers LLC,MC-234169,
CW-70108,PepsiCo,Trenton,NJ,Reading,PA,2025-11-09,2025-11-11,Dry Van,31135,84,680,177,23,503,74.0,delivered,Snack Foods,Coastal Freight Lines,MC-327015,
CW-70109,PepsiCo,Albany,GA,Scranton,PA,2025-03-31,2025-04-02,Flatbed,39683,714,1815,1577,243,238,13.1,delivered,Beverages,Northstar Logistics,MC-305589,
CW-70110,PepsiCo,Lakeland,FL,Winston-Salem,NC,2025-08-09,2025-08-10,Reefer,32230,637,1910,1668,215,242,12.7,delivered,Sports Drinks,Pinnacle Freight LLC,MC-319873,34F
CW-70111,PepsiCo,Tampa,FL,Winston-Salem,NC,2025-06-12,2025-06-13,Reefer,37904,646,1857,1522,246,335,18.0,delivered,Beverages,Swift Transport LLC,MC-223456,34F
CW-70112,PepsiCo,Tallahassee,FL,Mobile,AL,2025-09-24,2025-09-26,Reefer,40005,473,1495,1263,170,232,15.5,delivered,Sports Drinks,Seminole Express,MC-298447,34F
CW-70113,PepsiCo,Kalamazoo,MI,South Bend,IN,2025-09-26,2025-09-28,Reefer,40055,190,680,394,60,286,42.1,in_transit,Sports Drinks,Hoosier Express LLC,MC-316302,34F
CW-70114,PepsiCo,Battle Creek,MI,Peoria,IL,2025-10-28,2025-10-29,Reefer,35462,317,991,832,136,159,16.0,delivered,Beverages,Mountain West Transport,MC-237740,34F
CW-70115,PepsiCo,Columbus,GA,Nashville,TN,2026-02-03,2026-02-05,Reefer,41915,277,774,637,93,137,17.7,delivered,Snack Foods,Badger Freight Inc,MC-312731,34F
CW-70116,PepsiCo,Daytona Beach,FL,Lynchburg,VA,2026-01-09,2026-01-11,Reefer,41045,850,2575,2200,236,375,14.6,open,Sports Drinks,Heartland Trucking Co,MC-277021,34F
CW-70117,PepsiCo,Greensboro,NC,Greenville,SC,2025-04-26,2025-04-28,Reefer,36581,117,680,335,36,345,50.7,delivered,Sports Drinks,Eagle Freight Inc,MC-227027,34F
CW-70118,PepsiCo,Lansing,MI,Fort Myers,FL,2026-01-18,2026-01-20,Reefer,32912,1058,3096,2532,294,564,18.2,delivered,Snack Foods,Heartland Trucking Co,MC-277021,34F
CW-70119,PepsiCo,Tallahassee,FL,Miami,FL,2025-12-06,2025-12-07,Reefer,32515,167,680,361,49,319,46.9,delivered,Beverages,Tri-State Hauling Inc,MC-291305,34F
CW-70120,PepsiCo,Orlando,FL,Columbus,OH,2025-10-27,2025-10-29,Reefer,42273,907,2410,1955,211,455,18.9,delivered,Beverages,Swift Transport LLC,MC-223456,34F
CW-70121,PepsiCo,Tampa,FL,Memphis,TN,2026-02-26,2026-02-28,Dry Van,34750,642,1352,1181,173,171,12.6,delivered,Sports Drinks,Seminole Express,MC-298447,
CW-70122,PepsiCo,Pensacola,FL,Pittsburgh,PA,2025-05-11,2025-05-13,Flatbed,29518,988,2629,2273,313,356,13.5,delivered,Beverages,Carolina Freight Corp,MC-273450,
CW-70123,PepsiCo,Tallahassee,FL,Grand Rapids,MI,2025-12-18,2025-12-21,Flatbed,38487,1121,3111,2756,363,355,11.4,cancelled,Beverages,Tri-State Hauling Inc,MC-291305,
CW-70124,PepsiCo,Joliet,IL,Elizabeth,NJ,2025-12-15,2025-12-17,Reefer,38620,745,2073,1938,219,135,6.5,delivered,Sports Drinks,Cardinal Logistics LLC,MC-280592,34F
CW-70125,PepsiCo,Daytona Beach,FL,Scranton,PA,2025-12-18,2025-12-20,Dry Van,30233,1035,2530,2203,306,327,12.9,delivered,Beverages,Buckeye Freight Systems,MC-248453,
CW-70126,PepsiCo,Trenton,NJ,Fayetteville,NC,2025-10-25,2025-10-27,Reefer,38445,480,1408,1186,141,222,15.8,delivered,Beverages,Patriot Trucking Corp,MC-230598,34F
CW-70127,PepsiCo,Orlando,FL,Orlando,FL,2025-09-22,2025-09-23,Dry Van,38533,333,715,594,84,121,16.9,delivered,Snack Foods,Allegheny Freight Co,MC-309160,
CW-70128,PepsiCo,Atlanta,GA,Pensacola,FL,2026-03-21,2026-03-23,Dry Van,34322,345,754,618,70,136,18.0,delivered,Sports Drinks,Eagle Freight Inc,MC-227027,
CW-70129,PepsiCo,Tallahassee,FL,Detroit,MI,2025-11-26,2025-11-29,Reefer,30699,1151,2983,2490,338,493,16.5,delivered,Snack Foods,Northstar Logistics,MC-305589,34F
CW-70130,PepsiCo,Toledo,OH,Jacksonville,FL,2025-09-03,2025-09-06,Reefer,36276,914,2571,2186,323,385,15.0,delivered,Beverages,Mountain West Transport,MC-237740,34F
CW-70131,PepsiCo,Miami,FL,Flint,MI,2025-06-27,2025-07-01,Dry Van,31173,1173,2740,2432,321,308,11.2,delivered,Sports Drinks,Tri-State Hauling Inc,MC-291305,
CW-70132,PepsiCo,Detroit,MI,Harrisonburg,VA,2025-09-21,2025-09-22,Reefer,33320,648,1934,1669,195,265,13.7,in_transit,Snack Foods,Cardinal Logistics LLC,MC-280592,34F
CW-70133,PepsiCo,Dayton,OH,Savannah,GA,2025-12-04,2025-12-05,Dry Van,25651,652,1541,1258,184,283,18.4,delivered,Sports Drinks,Blue Ridge Transport,MC-269879,
CW-70134,PepsiCo,Chicago,IL,Evansville,IN,2025-11-05,2025-11-06,Reefer,36023,277,850,840,81,10,1.2,delivered,Sports Drinks,Gulf Coast Carriers,MC-259166,34F
CW-70135,PepsiCo,Tallahassee,FL,Harrisonburg,VA,2025-10-29,2025-10-31,Reefer,34439,849,2578,2310,301,268,10.4,delivered,Sports Drinks,Coastal Freight Lines,MC-327015,34F
CW-70136,PepsiCo,Rockford,IL,Akron,OH,2025-10-19,2025-10-21,Reefer,30782,369,1113,936,118,177,15.9,delivered,Beverages,Volunteer Express Inc,MC-244882,34F
CW-70137,PepsiCo,Columbus,OH,Kalamazoo,MI,2025-09-13,2025-09-15,Reefer,34904,223,680,541,87,139,20.4,in_transit,Sports Drinks,Empire State Trucking,MC-287734,34F
CW-70138,PepsiCo,Albany,GA,Dayton,OH,2025-04-14,2025-04-16,Dry Van,42931,618,1517,1229,122,288,19.0,dispatched,Sports Drinks,Blue Ridge Transport,MC-269879,
CW-70139,PepsiCo,Flint,MI,Cleveland,OH,2025-10-03,2025-10-04,Reefer,30273,266,725,627,82,98,13.5,delivered,Sports Drinks,Coastal Freight Lines,MC-327015,34F
