Load Number,Shipper,Origin City,Origin State,Origin Zip,Destination City,Destination State,Destination Zip,Pickup Date,Delivery Date,Equipment Type,Weight (lbs),Miles,Customer Rate,Carrier Rate,Fuel Surcharge,Margin,Margin %,Status,Commodity,Carrier Name,Driver,Broker Rep
LB-10435,Gestamp Automocion,Atlanta,GA,30313,Greenville,SC,29602,2026-03-18,2026-03-18,flatbed,46000,145,2200.00,1850.00,110.00,240.00,10.9,in_transit,Auto Body Panels,Patriot Flatbed LLC,Carlos Vega,Maria Lopez
LB-10436,Southern States Coop,Charlotte,NC,28209,Atlanta,GA,30314,2026-03-18,2026-03-19,dry_van,38000,245,2750.00,2280.00,185.00,285.00,10.4,in_transit,Animal Feed,Southeast Express Inc,Mike Torres,Tom Bradley
LB-10437,Dot Foods Inc,Dallas,TX,75212,Oklahoma City,OK,73108,2026-03-19,2026-03-19,reefer,32000,205,3000.00,2550.00,160.00,290.00,9.7,in_transit,Foodservice Products,Heartland Reefer Transport,James Olsen,Sarah Chen
LB-10438,Mohawk Industries,Atlanta,GA,30315,Chattanooga,TN,37401,2026-03-19,2026-03-19,dry_van,40000,120,1650.00,1380.00,90.00,180.00,10.9,in_transit,Carpet Rolls,Carolina Carriers LLC,Ray Sanchez,Maria Lopez
LB-10439,BASF Corporation,Dallas,TX,75213,Arlington,TX,76001,2026-03-20,2026-03-20,dry_van,24000,22,650.00,550.00,15.00,85.00,13.1,dispatched,Chemical Coatings,Lone Star Logistics,Hank Williams,Tom Bradley
LB-10440,Westrock Company,Atlanta,GA,30316,Kennesaw,GA,30144,2026-03-20,2026-03-20,dry_van,36000,28,700.00,590.00,20.00,90.00,12.9,dispatched,Corrugated Board,Palmetto Freight Inc,Tony Blake,Sarah Chen
LB-10441,Frito-Lay Inc,Dallas,TX,75214,Plano,TX,75023,2026-03-21,2026-03-21,dry_van,30000,20,600.00,510.00,15.00,75.00,12.5,dispatched,Snack Foods,Red River Transport,Earl Morrison,Maria Lopez
LB-10442,Michelin North America,Atlanta,GA,30317,Lawrenceville,GA,30043,2026-03-21,2026-03-21,dry_van,42000,35,800.00,680.00,25.00,95.00,11.9,dispatched,Tires,Southeast Express Inc,Mike Torres,Tom Bradley
LB-10443,Sysco Corporation,Chicago,IL,60609,Joliet,IL,60431,2026-03-22,2026-03-22,reefer,34000,45,1100.00,940.00,30.00,130.00,11.8,dispatched,Restaurant Supplies,Hoosier Cold Chain,Andy Marsh,Sarah Chen
LB-10444,Vulcan Materials,Atlanta,GA,30318,Charlotte,NC,28210,2026-03-24,2026-03-25,flatbed,48000,245,3400.00,,,,,open,Crusite Aggregate,,,,Maria Lopez
LB-10445,Pilgrim's Pride,Dallas,TX,75215,Oklahoma City,OK,73109,2026-03-24,2026-03-24,reefer,36000,205,3100.00,,,,,open,Fresh Poultry,,,Sarah Chen
LB-10446,Nucor Steel,Charlotte,NC,28211,Savannah,GA,31401,2026-03-25,2026-03-26,flatbed,46000,290,3600.00,,,,,open,Steel Beams,,,Tom Bradley
LB-10447,Tropicana Products,Miami,FL,33104,Tampa,FL,33601,2026-03-25,2026-03-25,reefer,30000,280,3200.00,,,,,open,Citrus Juice,,,Maria Lopez
LB-10448,Eastman Chemical,Dallas,TX,75216,Houston,TX,77002,2026-03-10,,,dry_van,28000,240,2400.00,2100.00,150.00,150.00,6.3,cancelled,Chemical Resins,Lone Star Logistics,,Sarah Chen
LB-10449,Conagra Brands,Chicago,IL,60610,Milwaukee,WI,53201,2026-03-12,,,reefer,32000,90,1800.00,1550.00,70.00,180.00,10.0,cancelled,Frozen Foods,Midwest Logistics Corp,,Tom Bradley
LB-10450,Georgia-Pacific,Atlanta,GA,30319,Augusta,GA,30901,2026-03-15,,,dry_van,38000,150,1900.00,1600.00,115.00,185.00,9.7,cancelled,Paper Products,Palmetto Freight Inc,,Maria Lopez
