module,root_id,element,root_lemma,gloss_fil,example_fil,gloss_en_backgloss,example_en_backgloss,qa_status,reviewer_ok (Y/N),reviewer_notes
3,m3-comprar,,comprar,bumili,Kailangan ko ng kuwaderno at binibili ko ito sa tindahan sa Makati.,to buy,I need a notebook and I buy it at the store in Makati.,pending,,
3,m3-tienda,,tienda,tindahan,Malapit ang tindahan at binibisita ko ito araw-araw.,shop / store,The store is nearby and I visit it every day.,pending,,
3,m3-vender,,vender,magbenta,Nagbebenta sa akin ng sariwang prutas ang tindero tuwing umaga.,to sell,The vendor sells me fresh fruit every morning.,pending,,
3,m3-pagar,,pagar,magbayad,Babayaran kita sa kape dahil ikaw ang nag-libre sa akin kahapon.,to pay,I am paying you for the coffee because you treated me yesterday.,pending,,
3,m3-mercado,,mercado,palengke / merkado,Bumibili ako ng isda sa palengke at lagi ko itong dinadala sa bahay.,market,I buy fish at the market and I always take it home.,pending,,
3,m3-ropa,,ropa,damit,Ang mga damit na ito ay para sa init ng Zamboanga.,clothing / clothes,These clothes are for the heat of Zamboanga.,pending,,
3,m3-camisa,,camisa,kamiseta / polo,Mas maganda ang kamisetang ito kaysa sa iyon.,shirt,This shirt is prettier than that one.,pending,,
3,m3-zapato,,zapato,sapatos,Komportable para sa paglalakad ang mga sapatos na iyon.,shoe,Those shoes (over there) are comfortable for walking.,pending,,
3,m3-vestido,,vestido,bestida / damit-pang-babae,Iyong bestida ay perpekto para sa pista.,dress,That dress over there is perfect for the party.,pending,,
3,m3-llevar,,llevar,magsuot / magdala,Ngayon ay suot ko ang dyaket na ito dahil malamig ang umaga.,to wear / to carry,Today I am wearing this jacket because the morning is cold.,pending,,
3,m3-comida,,comida,pagkain,"Gusto ko ang pagkaing Pilipino, lalo na ang adobo.",food / meal,"I like Filipino food, especially adobo.",pending,,
3,m3-restaurante,,restaurante,restawran / kainan,Mas gusto ko ang restawrang ito dahil mura ang pagkain.,restaurant,I prefer this restaurant because the food is cheap.,pending,,
3,m3-gustar,,gustar,magustuhan,"Gusto ko ang gulay, ngunit hindi niya ito gusto.",to please / to like,"I like vegetables, but he does not like them.",pending,,
3,m3-preferir,,preferir,mas gustuhin / piliin,"Mas gusto ko ang kanin, ngunit mas gusto niya ang tinapay.",to prefer,"I prefer rice, but she prefers bread.",pending,,
3,m3-bebida,,bebida,inumin,Gusto mo ba ang malamig na inuming ito o mas gusto mo ng mainit na tsaa?,drink / beverage,Do you like this cold drink or do you prefer a hot tea?,pending,,
3,m3-precio,,precio,presyo / halaga,Kasintaas ng presyo ng kamisetang ito ang presyo ng iyon.,price,The price of this shirt is as high as that of the other one.,pending,,
3,m3-dinero,,dinero,pera / salapi,Kasindami ng pera ng kapatid kong lalaki ang pera ko para sa pamimili.,money,I have as much money as my brother for the shopping.,pending,,
3,m3-barato,,barato,mura,Kasingmura ng prutas sa palengke ng Cavite ang prutas na ito.,cheap / inexpensive,This fruit is as cheap as the one from the Cavite market.,pending,,
3,m3-caro,,caro,mahal,Kasingmahal ng bagong telepono ang mga sapatos na iyon.,expensive,Those shoes are as expensive as a new phone.,pending,,
3,m3-cantidad,,cantidad,dami / kantidad,Kailangan ko ng kasindaming bigas na binibili mo.,quantity / amount,I need the same quantity of rice that you buy.,pending,,
3,m3-costar,,costar,magkahalaga / magkano,Magkano ang bestidang ito? Kasinghalaga ito ng iyon.,to cost,How much does this dress cost? It costs as much as that one.,pending,,
3,m3-cuanto,,cuánto,magkano / ilan,Ilang tinapay ang gusto mo at magkano ang perang dala mo?,how much / how many,How many breads do you want and how much money do you have with you?,pending,,
3,m3-pesos,,peso,piso (salapi),Ang kilong manggang ito ay nagkakahalaga ng isang daang piso sa palengke.,peso (currency) / weight,This kilo of mangoes costs one hundred pesos at the market.,pending,,
3,m3-medio,,medio,kalahati,Gusto ko ng kalahating kilong manok at isang dosenang itlog.,half,I want half a kilo of chicken and a dozen eggs.,pending,,
3,m3-mas,,más,higit / mas,"Kasindami ng produkto ng kabilang tindahan ang tindahang ito, ngunit mas mahal ito.",more / most,"This store has as many products as the other, but it is more expensive.",pending,,
3,m3-preguntar,,preguntar,magtanong,Tinatanong sa akin ng kliyente ang presyo at sinasabi ko ito sa kanya.,to ask,The customer asks me the price and I tell it to him.,pending,,
3,m3-responder,,responder,sumagot,Mabait ang tindero at sinasagot niya ako nang may pasensya.,to answer / to respond,The seller is kind and answers me patiently.,pending,,
3,m3-querer,,querer,gustuhin / ibig,"Gusto ko ang asul na blusang ito; maaari mo ba itong ipakita sa akin, pakiusap?",to want / to love,"I want this blue blouse; can you show it to me, please?",pending,,
3,m3-necesitar,,necesitar,kailanganin,Kailangan ko ng pantalong iyon; maaari mo bang dalhin ito sa akin sa ibang sukat?,to need,I need those trousers; can you bring them to me in another size?,pending,,
3,m3-dar,,dar,magbigay,"Maaari mo ba akong bigyan ng sukli, pakiusap? Heto, ibinibigay ko sa iyo ang papel-pera.",to give,"Will you give me the change, please? Here I give you the bill.",pending,,
4,m4-lugar,,lugar,lugar,"Ang museo ay nasa isang tahimik na lugar, malapit sa parke.",place,"The museum is in a quiet place, near the park.",pending,,
4,m4-cerca,,cerca,malapit,Ang aking hotel ay malapit sa estasyon ng tren.,near / close to,My hotel is near the train station.,pending,,
4,m4-lejos,,lejos,malayo,Ang paliparan ay malayo sa sentro ng Maynila.,far / far from,The airport is far from the center of Manila.,pending,,
4,m4-derecha,,derecha,kanan,Ang bangko ay nasa kanan ng simbahan.,right (direction),The bank is to the right of the church.,pending,,
4,m4-izquierda,,izquierda,kaliwa,"Ang botika ay nasa kaliwa, sa pagitan ng dalawang tindahan.",left (direction),"The pharmacy is on the left, between two shops.",pending,,
4,m4-enfrente,,enfrente,sa harap / katapat,Ang hintuan ng bus ay nasa harap ng palengke.,in front of / opposite,The bus stop is in front of the market.,pending,,
4,m4-detras,,detrás,sa likod,Ang paradahan ay nasa likod ng gusali.,behind,The parking lot is behind the building.,pending,,
4,m4-esquina,,esquina,kanto / sulok,May isang tindahan sa kanto ng kalye.,corner (street),There is a shop on the corner of the street.,pending,,
4,m4-calle,,calle,kalye / daan,Ang bahay ko ay nasa dulo ng kalyeng ito.,street,My house is at the end of this street.,pending,,
4,m4-cuadra,,cuadra,kuwadra / bloke ng kalye,Ang restawran ay dalawang bloke mula rito.,block (city block),The restaurant is two blocks from here.,pending,,
4,m4-viajar,,viajar,maglakbay,Naglalakbay ako papuntang Zamboanga sa eroplano buwan-buwan.,to travel,I travel to Zamboanga by plane every month.,pending,,
4,m4-coche,,coche,kotse,Pupunta kami sa Cavite sakay ng kotse ngayong katapusan ng linggo.,car,We are going to Cavite by car this weekend.,pending,,
4,m4-autobus,,autobús,bus / awtobus,Sumasakay ako ng bus papunta sa trabaho tuwing umaga.,bus,I take the bus to go to work every morning.,pending,,
4,m4-tren,,tren,tren,Dumarating ang tren sa estasyon nang alas-otso.,train,The train arrives at the station at eight.,pending,,
4,m4-conducir,,conducir,magmaneho,Maingat na nagmamaneho ang kuya ko sa lungsod.,to drive,My brother drives very carefully in the city.,pending,,
4,m4-aeropuerto,,aeropuerto,paliparan,Naghihintay kami sa paliparan ng Maynila sa mismong sandaling ito.,airport,We are waiting at the Manila airport right now.,pending,,
4,m4-vuelo,,vuelo,lipad / flight,Tinitingnan ko ang oras ng aking lipad papuntang Cebu.,flight,I am checking the time of my flight to Cebu.,pending,,
4,m4-maleta,,maleta,maleta,Nagpapatala ako ng aking maleta sa kawnter.,suitcase,I am checking in my suitcase at the counter.,pending,,
4,m4-billete,,billete,tiket,Bumibili ang ginang ng tiket na balikan.,ticket,The lady is buying a round-trip ticket.,pending,,
4,m4-esperar,,esperar,maghintay / umasa,Naghihintay ang mga pasahero sa pinto ng sakayan.,to wait / to hope,The passengers are waiting at the boarding gate.,pending,,
4,m4-visitar,,visitar,bumisita / dumalaw,Kahapon ay binisita ko ang Rizal Park kasama ang aking mga kaibigan.,to visit,Yesterday I visited Rizal Park with my friends.,pending,,
4,m4-ciudad,,ciudad,lungsod / siyudad,Noong nakaraang linggo ay nilibot namin ang lungsod ng Makati nang naglalakad.,city,Last week we explored the city of Makati on foot.,pending,,
4,m4-museo,,museo,museo,Noong nakaraang Sabado ay pumasok ako sa pambansang museo sa unang pagkakataon.,museum,Last Saturday I entered the national museum for the first time.,pending,,
4,m4-plaza,,plaza,plasa / liwasan,Naglakad ang mga turista sa plasa buong hapon.,square / plaza,The tourists walked around the plaza all afternoon.,pending,,
4,m4-iglesia,,iglesia,simbahan,Ako at ang aking pamilya ay pumasok sa lumang simbahan ng Cavite.,church,My family and I went into the old church in Cavite.,pending,,
4,m4-ir,,ir,pumunta,Noong nakaraang taon ay pumunta ako sa Zamboanga sakay ng barko kasama ang aking pinsan.,to go,Last year I went to Zamboanga by boat with my cousin.,pending,,
4,m4-hacer,,hacer,gumawa,Gumawa kami ng tour sa lumang bahagi ng lungsod.,to do / to make,We did a tour of the old town of the city.,pending,,
4,m4-ver,,ver,makita / tumingin,Mula sa tanawan ay nakita namin ang buong look ng Maynila.,to see,From the lookout we saw the whole bay of Manila.,pending,,
4,m4-llegar,,llegar,dumating,Dumating kami sa hotel nang gabing-gabi na dahil sa matinding trapiko.,to arrive,We arrived at the hotel very late because there was a lot of traffic.,pending,,
4,m4-mapa,,mapa,mapa,Maganda sanang paglalakbay; magdala ka ng mapa baka ka maligaw.,map,Have a good trip; take a map in case you get lost.,pending,,
4,m4-seguir,,seguir,sumunod / magpatuloy,Dumiretso po kayo at pagkatapos ay kumanan.,to follow / to continue,Continue straight ahead and then turn right.,pending,,
4,m4-doblar,,doblar,lumiko,Kumaliwa ka sa ikalawang kanto.,to turn,Turn left at the second corner.,pending,,
4,m4-cruzar,,cruzar,tumawid,Tumawid po kayo nang maingat at ang estasyon ay nasa harapan.,to cross,Cross the street carefully and the station is right ahead.,pending,,
4,m4-preguntar,,preguntar,magtanong,"Kapag naligaw ka, magtanong ka sa isang pulis kung paano makakarating.",to ask,"If you get lost, ask a police officer how to get there.",pending,,
4,m4-perderse,,perder(se),maligaw / mawala,Huwag po kayong maligaw; sumakay kayo sa ikalawang tren papuntang sentro.,to get lost,Do not get lost; take the second train toward downtown.,pending,,
5,m5-divertirse,,divertir(se),mag-enjoy / maglibang,"Tuwing katapusan ng linggo, lubos akong nag-eenjoy kasama ang aking mga kaibigan sa Makati.",to have fun / to enjoy oneself,On weekends I have a lot of fun with my friends in Makati.,pending,,
5,m5-relajarse,,relajar(se),magpahinga / mag-relax,"Pagkatapos ng trabaho, nagpapahinga ako sa pamamagitan ng pagbabasa ng libro sa bahay.",to relax / to unwind,After work I relax by reading a book at home.,pending,,
5,m5-aficion,,afición,libangan / hilig,Ang paborito kong libangan ay potograpiya at ginagawa ko ito tuwing Linggo.,hobby / pastime,My favorite hobby is photography and I do it every Sunday.,pending,,
5,m5-dedicarse,,dedicar(se),italaga ang sarili / maglaan ng oras,"Sa aking malayang oras, inilalaan ko ang sarili ko sa paghahalaman at pagluluto.",to devote oneself / to spend time on,In my free time I devote myself to gardening and cooking.,pending,,
5,m5-pasatiempo,,pasatiempo,libangan / pampalipas-oras,Ang pangongolekta ng selyo ay isang panatag na libangan na lubos kong kinagigiliwan.,pastime / leisure activity,Collecting stamps is a quiet pastime that I really enjoy.,pending,,
5,m5-pelicula,,película,pelikula,"Ngayong linggo, nakapanood ako ng pelikulang Pilipino, ngunit kahapon nanood ako ng isang Espanyol.",film / movie,"This week I have seen a Filipino film, but yesterday I saw a Spanish one.",pending,,
5,m5-cantar,,cantar,kumanta / umawit,"Kagabi kumanta ako sa karaoke, kahit na hindi pa ako nakakanta sa harap ng publiko dati.",to sing,"Last night I sang at the karaoke, although I have never sung in public before.",pending,,
5,m5-estrenar,,estrenar,magpalabas sa unang pagkakataon,Ipinalabas ng direktor ang kanyang pelikula sa Maynila noong nakaraang linggo.,to premiere / to release,The director premiered his film in Manila last week.,pending,,
5,m5-escuchar,,escuchar,makinig,"Maraming beses ko nang napakinggan ang kantang iyon, ngunit narinig ko ito sa unang pagkakataon sa Zamboanga.",to listen,"I have listened to that song many times, but I heard it for the first time in Zamboanga.",pending,,
5,m5-grupo,,grupo,banda / grupo,Ang paborito kong banda ay naglabas ng bagong album ngayong buwan.,band / group,My favorite music band has released a new album this month.,pending,,
5,m5-poder,,poder,magagawa / kaya,"Magaling akong lumangoy, ngunit hindi ko kayang tumakbo nang malayo.",to be able to / can,"I can swim very well, but I cannot run long distances.",pending,,
5,m5-saber,,saber,marunong / alam kung paano,Marunong maglaro ng basketbol ang kapatid kong lalaki nang mas mahusay kaysa sa lahat sa Cavite.,to know how to,My brother knows how to play basketball better than anyone in Cavite.,pending,,
5,m5-entrenar,,entrenar,mag-ensayo / magsanay,Kailangan kong magsanay nang tatlong beses sa isang linggo kung nais kong tumakbo sa maraton.,to train / to work out,I must train three times a week if I want to run the marathon.,pending,,
5,m5-deporte,,deporte,isport / palakasan,Ang voleyball ay isang isport na maaaring laruin sa tabing-dagat.,sport,Volleyball is a sport that you can play on the beach.,pending,,
5,m5-montar,,montar,sumakay / magmaneho (bisikleta o kabayo),"Marunong akong sumakay sa bisikleta, ngunit hindi pa ako kayang sumakay sa kabayo.",to ride / to mount,"I know how to ride a bicycle, but I cannot ride a horse yet.",pending,,
5,m5-gustar,,gustar (condicional: gustaría),gustong-gusto / nais,Gusto kong dumalo sa konsiyerto sa Sabadong ito sa parke.,would like (to),I would like to attend this Saturday's concert in the park.,pending,,
5,m5-entrada,,entrada,tiket / pasok,Maaari po ba akong bumili ng dalawang tiket para sa palabas?,ticket / entry,"Could I buy two tickets for the show, please?",pending,,
5,m5-espectaculo,,espectáculo,palabas / pagtatanghal,Gustong-gusto naming panoorin ang palabas ng katutubong sayaw ngayong katapusan ng linggo.,show / performance,We would love to see the folk dance show this weekend.,pending,,
5,m5-reservar,,reservar,magreserba / magpa-book,Mamamasanin po ba ninyong magreserba ng mesa malapit sa entablado para sa amin?,to reserve / to book,Would you mind reserving a table near the stage for us?,pending,,
5,m5-acompanar,,acompañar,samahan / sumama,Gusto mo bang samahan ako sa book fair sa Biyernes?,to accompany / to go with,Would you like to accompany me to the book fair on Friday?,pending,,
5,m5-opinar,,opinar,magbigay ng opinyon / mag-isip,"Hindi ko iniisip na mas mabuti ang sine kaysa sa pagbabasa, kahit na marami ang nag-iisip ng kabaligtaran.",to think / to give an opinion,"I do not think that cinema is better than reading, although many think the opposite.",pending,,
5,m5-preferir,,preferir,mas gusto / mas pinipili,Mas gusto kong pumunta tayo sa teatro sa halip na manatili sa bahay.,to prefer,I prefer that we go to the theater instead of staying at home.,pending,,
5,m5-parecer,,parecer,tila / sa palagay,Mabuti sa palagay ko na makinig tayo ng tradisyonal na musikang Pilipino sa piyesta.,to seem / to think (in one's view),It seems good to me that we listen to traditional Filipino music at the party.,pending,,
5,m5-dudar,,dudar,magduda / mag-alinlangan,Nag-aalinlangan akong magustuhan ng lahat ang parehong uri ng musika.,to doubt,I doubt that everyone likes the same kind of music.,pending,,
5,m5-alegrarse,,alegrar(se),matuwa / magalak,Natutuwa ako na mas gusto mong gugulin ang Linggo sa labas.,to be glad / to be happy (about),I am glad that you prefer to spend Sunday outdoors.,pending,,
5,m5-invitar,,invitar,mag-imbita / anyayahan,"Iniimbitahan kita sa aking kaarawan sa Sabado ng gabi, alas-otso.",to invite,"I invite you to my birthday on Saturday night, at eight.",pending,,
5,m5-quedar,,quedar,magkita / magtakda ng pagkikita,Magkikita ba tayo nang alas-singko ng hapon sa plaza sa Linggo?,to arrange to meet / to meet up,Shall we meet at five in the afternoon at the plaza on Sunday?,pending,,
5,m5-cita,,cita,tipanan / pakikipagkita,May tipanan ako kay María sa kape sa tanghali.,date / appointment,I have a date with María at the café at noon.,pending,,
5,m5-celebrar,,celebrar,magdiwang / ipagdiwang,"Ipagdiriwang natin ang piyesta ng bayan sa Mayo, sa buong buwan.",to celebrate,"We are going to celebrate the town fiesta in May, throughout the whole month.",pending,,
5,m5-fecha,,fecha,petsa,"Ang petsa ng pagpupulong ay ika-19 ng Hunyo, sa umaga.",date (calendar),"The date of the meeting is June 19th, in the morning.",pending,,
5,m5-acostumbrarse,,acostumbrar(se),masanay / maging kaugalian,Nasanay na akong maglakad tuwing umaga bago magtrabaho.,to get used to / to be in the habit of,I have gotten used to going for a walk every morning before work.,pending,,
5,m5-soler,,soler,kadalasang ginagawa / nakasanayan,Kadalasan akong nakikipagkita sa aking mga kaibigan tuwing Biyernes para manood ng pelikula.,to usually (do) / to be accustomed to,I usually meet up with my friends on Fridays to watch a movie.,pending,,
5,m5-interesar,,interesar(se),interesado / makawili,Interesado akong matuto tayo ng mga tradisyonal na sayaw sa klub ngayong taon.,to be interested in / to interest,I am interested in us learning traditional dances at the club this year.,pending,,
5,m5-aburrirse,,aburrir(se),mainip / mabagot,Hindi ako kailanman naiinip tuwing Linggo dahil laging may masayang ginagawa ako.,to get bored,I never get bored on Sundays because I always do something fun.,pending,,
5,m5-disfrutar,,disfrutar,tamasahin / kasiyahan,Sana ay matamasa mo ang katapusan ng linggo habang nagpapahinga kasama ang iyong pamilya.,to enjoy,I hope that you enjoy the weekend resting with your family.,pending,,
6,m6-salud,,salud,kalusugan,Napakahusay ng kalusugan ng aking lola dahil inaalagaan niya ito araw-araw.,health,My grandmother is very healthy because she takes care of her health every day.,pending,,
6,m6-cuerpo,,cuerpo,katawan,Ang katawan ng tao ay isang kamangha-mangha at masalimuot na makina.,body,The human body is an incredible and complex machine.,pending,,
6,m6-bienestar,,bienestar,kabutihang-loob / maayos na kalagayan,Ang kabutihan ng isip ay kasinghalaga ng kalusugan ng katawan.,well-being,Mental well-being is as important as physical well-being.,pending,,
6,m6-enfermo,,enfermo,may sakit / maysakit,"May sakit ako ngayon, ngunit karaniwang napakalakas kong tao.",sick / ill,"Today I am sick, but I am normally a very strong person.",pending,,
6,m6-fuerte,,fuerte,malakas / matibay,Napakalakas ng kapatid kong lalaki dahil siya ay nasa mabuting kondisyon.,strong,My brother is very strong because he is in good shape.,pending,,
6,m6-cabeza,,cabeza,ulo,Masakit ang ulo ko; maingat itong sinusuri ng doktor para sa akin.,head,My head hurts; the doctor examines it for me carefully.,pending,,
6,m6-corazon,,corazón,puso,Pinapakinggan ng doktor ang puso ko at sinusuri ito para sa akin taon-taon.,heart,The doctor listens to my heart and checks it for me every year.,pending,,
6,m6-medico,,médico,doktor / medikal,"Kapag may pag-aalinlangan ako, ipinapaliwanag ko ang mga ito sa doktor at siya ay sumasagot sa akin.",doctor / medical,"When I have doubts, I explain them to the doctor and he answers me.",pending,,
6,m6-cita,,cita,appointment / takdang-oras,May appointment ako sa klinika sa Makati at kinumpirma ko ito kahapon.,appointment,I have an appointment at the Makati clinic and I confirmed it yesterday.,pending,,
6,m6-receta,,receta,reseta,Binibigyan ako ng doktor ng reseta at dinadala ko ito sa parmasyutiko.,prescription / recipe,The doctor gives me the prescription and I take it to the pharmacist.,pending,,
6,m6-examinar,,examinar,suriin / eksaminin,Sinusuri ng nars ang lalamunan ko at inilalarawan niya ito sa doktor para sa akin.,to examine,The nurse examines my throat and describes it to the doctor for me.,pending,,
6,m6-recetar,,recetar,magreseta,Nirereseta sa akin ng doktor ang ilang tableta at ipinapaliwanag niya ang mga ito sa akin nang may pasensya.,to prescribe,The doctor prescribes me some pills and explains them to me patiently.,pending,,
6,m6-doler,,doler,sumakit,"Masakit ang mga ngipin ko, kaya sinusuri ng dentista ang mga ito para sa akin ngayon.",to hurt / to ache,"My teeth hurt, so the dentist checks them for me today.",pending,,
6,m6-curar,,curar,gamutin / pagalingin,Pinapagaling ng syrup na ito ang ubo ko; iniinom ko ito dalawang beses sa isang araw.,to cure / to heal,This syrup cures my cough; I take it twice a day.,pending,,
6,m6-medicina,,medicina,gamot / medisina,Bumibili ako ng gamot sa botika at iniingatan ko ito sa bahay.,medicine,I buy the medicine at the pharmacy and keep it at home.,pending,,
6,m6-alimentacion,,alimentación,nutrisyon / pagkain,Ang mabuting nutrisyon ay mas mahalaga kaysa sa anumang suplemento.,nutrition / diet,Good nutrition is more important than any supplement.,pending,,
6,m6-verdura,,verdura,gulay,Ang mga gulay ay mas masustansya kaysa sa pritong pagkain.,vegetable / greens,Vegetables are healthier than fried food.,pending,,
6,m6-fruta,,fruta,prutas,Ang mangga ay ang pinakamatamis na prutas sa Pilipinas.,fruit,The mango is the sweetest fruit in the Philippines.,pending,,
6,m6-agua,,agua,tubig,Ang pag-inom ng tubig ay kasinghalaga ng mabuting pagtulog.,water,Drinking water is as necessary as sleeping well.,pending,,
6,m6-azucar,,azúcar,asukal,Ang softdrink ay may mas maraming asukal kaysa sa tubig ng buko.,sugar,The soft drink has much more sugar than coconut water.,pending,,
6,m6-ejercicio,,ejercicio,ehersisyo,Nag-eehersisyo ako sa parke sa Cavite sa mismong sandaling ito.,exercise,I am doing exercise in the Cavite park right now.,pending,,
6,m6-entrenar,,entrenar,magsanay / mag-entrena,Nagsasanay ang pinsan ko para sa marathon sa Zamboanga.,to train,My cousin is training for the Zamboanga marathon.,pending,,
6,m6-correr,,correr,tumakbo,Tumatakbo kami tuwing umaga upang panatilihin ang aming maayos na kondisyon.,to run,We are running every morning to keep ourselves in shape.,pending,,
6,m6-musculo,,músculo,kalamnan / muscle,Pinapalakas ko ang aking mga kalamnan sa pamamagitan ng pagbubuhat ng timbang sa gym.,muscle,I am strengthening my muscles by lifting weights at the gym.,pending,,
6,m6-descansar,,descansar,magpahinga,"Pagkatapos magsanay, nagpapahinga ako sandali sa lilim.",to rest,"After training, I am resting for a while in the shade.",pending,,
6,m6-sintoma,,síntoma,sintomas,Inirerekomenda ng doktor na ilarawan mo nang mahinahon ang lahat ng iyong sintomas.,symptom,The doctor recommends that you describe all your symptoms calmly.,pending,,
