Movement ID,Customer,Shipper Location,Origin City,Origin State,Origin Zip,Consignee,Dest City,Dest State,Dest Zip,Ship Date,Del Date,Equipment,Weight,Miles,Customer Charge,Carrier Pay,Fuel Surcharge,Margin,Margin %,Rate Per Mile,Status,Commodity,Carrier Name,Carrier MC,Driver,Dispatcher,Sales Rep,Reference,Temperature
CW-50014,FedEx Ground,FedEx Ground Hub,Philadelphia,PA,19101,FedEx Ground Sort Facility,Edison,NJ,08817,2026-03-16,2026-03-16,Dry Van,24000,88,880,686,70,124,14.1,10.00,delivered,Parcel Freight,Evergreen Transport LLC,MC-478905,Steven Taylor,Milos Mandic,Robert Workman,BOL-78234,
CW-50015,PepsiCo,PepsiCo Tampa Warehouse,Tampa,FL,33602,PepsiCo Distribution Center,Charlotte,NC,28201,2026-03-16,2026-03-17,Reefer,39000,570,3648,2702,328,618,16.9,6.40,delivered,Beverages,Patriot Trucking Corp,MC-502187,Robert Garcia,Luka Cipovic,Brendaly Rivera,PO-38286,34F
CW-50016,Spartan Nash,Spartan Nash Distribution,Lansing,MI,48901,Spartan Nash Regional Warehouse,Cleveland,OH,44101,2026-03-16,2026-03-17,Reefer,33000,250,1600,1184,144,272,17.0,6.40,delivered,Frozen Foods,Wolverine Freight Inc,MC-112349,David Wilson,Natasa Parenta,Ilija Tojagic,PO-51930,-10F
CW-50017,PepsiCo,Gatorade Production Facility,Orlando,FL,32801,PepsiCo Store DC,Augusta,GA,30901,2026-03-16,2026-03-17,Reefer,37000,350,2240,1659,202,379,16.9,6.40,delivered,Sports Drinks,Copperhead Carriers,MC-223451,Victor Martin,Milos Mandic,Brendaly Rivera,BOL-44530,34F
CW-50018,Boise Paper,Boise Cascade Packaging,Idaho Falls,ID,83401,Boise Paper Distribution,Dallas,TX,75201,2026-03-16,2026-03-19,Flatbed,44000,1540,7700,6776,577,347,4.5,5.00,delivered,Cardboard Rolls,Lone Star Freight,MC-912349,Juan Jackson,Luka Cipovic,Robert Workman,PO-72150,
CW-50019,PepsiCo,PepsiCo Beverages DC,Tampa,FL,33602,PepsiCo Warehouse A,Raleigh,NC,27601,2026-03-16,2026-03-18,Reefer,42000,640,4096,2990,369,737,18.0,6.40,delivered,Beverages,Blue Ridge Transport,MC-123450,Andre Davis,Natasa Parenta,Brendaly Rivera,PO-38292,34F
CW-50020,Performance Food Group,PFG Foodservice Warehouse,Charlotte,NC,28201,PFG Southeast DC,Atlanta,GA,30301,2026-03-16,2026-03-17,Reefer,31000,240,1536,1137,138,261,17.0,6.40,delivered,Fresh Produce,Eagle Freight Inc,MC-391054,Thomas Brown,Milos Mandic,Ilija Tojagic,BOL-67845,34F
CW-50021,PepsiCo,Frito-Lay Distribution,Atlanta,GA,30301,PepsiCo Distribution Center,Tampa,FL,33602,2026-03-17,2026-03-18,Reefer,36000,470,3008,2345,271,392,13.0,6.40,delivered,Snack Foods,Gulf Coast Carriers,MC-334561,James Lopez,Luka Cipovic,Brendaly Rivera,PO-38295,34F
CW-50022,Coca-Cola,Coca-Cola Distribution Center,Atlanta,GA,30301,Coca-Cola Southeast Plant,Jacksonville,FL,32202,2026-03-17,2026-03-17,Reefer,43000,350,2240,1659,202,379,16.9,6.40,delivered,Beverages,Sunbelt Carriers LLC,MC-618342,Carlos Anderson,Natasa Parenta,Brendaly Rivera,BOL-29391,34F
CW-50023,PepsiCo,PepsiCo Tampa Warehouse,Lakeland,FL,33801,PepsiCo Cold Storage Facility,Harrisburg,PA,17101,2026-03-17,2026-03-19,Reefer,40000,950,6080,4682,547,851,14.0,6.40,delivered,Beverages,Keystone Carriers Inc,MC-367894,William Hernandez,Milos Mandic,Brendaly Rivera,PO-38298,34F
CW-50024,Target,Target Distribution Center,Camden,NJ,08101,Target Import Warehouse,Charlotte,NC,28201,2026-03-17,2026-03-18,Dry Van,26000,520,2912,2155,262,495,17.0,5.60,delivered,Household Goods,Patriot Trucking Corp,MC-502187,Michael Taylor,Luka Cipovic,Robert Workman,PO-83298,
CW-50025,PepsiCo,PepsiCo Southeast Hub,Tampa,FL,33602,PepsiCo Regional Hub,Augusta,GA,30901,2026-03-17,2026-03-17,Reefer,38000,380,2432,1890,219,323,13.3,6.40,delivered,Beverages,Coastal Freight Lines,MC-789016,Jose Williams,Natasa Parenta,Brendaly Rivera,BOL-44540,34F
CW-50026,Spartan Nash,Spartan Nash DC Grand Rapids,Grand Rapids,MI,49501,Spartan Nash Distribution,Chicago,IL,60601,2026-03-17,2026-03-17,Reefer,35000,180,1152,853,104,195,16.9,6.40,delivered,Dairy Products,Heartland Trucking Co,MC-456783,Robert Moore,Milos Mandic,Ilija Tojagic,PO-51937,34F
CW-50027,PepsiCo,PepsiCo Beverages DC,Jacksonville,FL,32202,PepsiCo Distribution Center,Newark,NJ,07102,2026-03-17,2026-03-19,Reefer,44000,1020,6528,5548,587,-607,-9.3,6.40,delivered,Beverages,Empire State Trucking,MC-778906,Daniel Garcia,Luka Cipovic,Brendaly Rivera,PO-38304,34F
CW-50028,Kroger,Kroger Peyton Distribution,Columbus,OH,43201,Kroger Fresh Foods DC,Pittsburgh,PA,15201,2026-03-17,2026-03-17,Reefer,33000,190,1216,900,110,206,16.9,6.40,delivered,Frozen Foods,Redline Freight Corp,MC-667894,Mark Wilson,Natasa Parenta,Ilija Tojagic,BOL-55900,-10F
CW-50029,PepsiCo,Gatorade Production Facility,Tampa,FL,33602,PepsiCo Warehouse A,Greensboro,NC,27401,2026-03-17,2026-03-18,Reefer,39000,620,3968,2936,357,675,17.0,6.40,delivered,Sports Drinks,Carolina Freight Corp,MC-667895,Steven Martinez,Milos Mandic,Brendaly Rivera,PO-38307,34F
CW-50030,FedEx Ground,FedEx Ground Distribution,Newark,NJ,07102,FedEx Ground Hub,Philadelphia,PA,19101,2026-03-17,2026-03-17,Dry Van,22000,95,855,667,68,120,14.0,9.00,delivered,E-Commerce Packages,Evergreen Transport LLC,MC-478905,Pedro Taylor,Luka Cipovic,Robert Workman,BOL-78245,
CW-50031,PepsiCo,PepsiCo Beverages DC,Orlando,FL,32801,PepsiCo Distribution Center,Savannah,GA,31401,2026-03-17,2026-03-17,Reefer,37000,290,1856,1374,167,315,17.0,6.40,delivered,Beverages,Sunbelt Carriers LLC,MC-618342,James Anderson,Natasa Parenta,Brendaly Rivera,BOL-44548,34F
CW-50032,Performance Food Group,PFG Southeast DC,Raleigh,NC,27601,PFG Customized Distribution,Richmond,VA,23219,2026-03-17,2026-03-17,Reefer,30000,170,1088,806,98,184,16.9,6.40,delivered,Restaurant Supplies,Cardinal Logistics LLC,MC-678905,David Lopez,Milos Mandic,Ilija Tojagic,PO-67850,34F
CW-50033,PepsiCo,Frito-Lay Distribution,Tampa,FL,33602,PepsiCo Cross-Dock Facility,Fort Myers,FL,33901,2026-03-17,2026-03-17,Reefer,28000,68,952,768,86,98,10.3,14.00,delivered,Snack Foods,Seminole Express,MC-889016,Victor Brown,Luka Cipovic,Brendaly Rivera,PO-38313,34F
CW-50034,Coca-Cola,Coca-Cola Southeast Plant,Atlanta,GA,30301,Coca-Cola Bottling Consolidated,Charlotte,NC,28201,2026-03-17,2026-03-17,Reefer,42000,250,1600,1184,144,272,17.0,6.40,delivered,Syrup Concentrate,Patriot Trucking Corp,MC-502187,Carlos Davis,Natasa Parenta,Brendaly Rivera,BOL-29400,34F
CW-50035,PepsiCo,PepsiCo Tampa Warehouse,Tampa,FL,33602,PepsiCo Store DC,Detroit,MI,48201,2026-03-17,2026-03-19,Reefer,41000,1180,7552,5814,680,1058,14.0,6.40,delivered,Beverages,Great Lakes Express,MC-801238,William Thomas,Milos Mandic,Brendaly Rivera,PO-38316,34F
CW-50036,Boise Paper,Boise Paper Mill,Boise,ID,83701,Boise Paper Distribution,Springfield,IL,62701,2026-03-17,2026-03-20,Flatbed,47000,1610,8050,7084,604,362,4.5,5.00,delivered,Packaging Materials,Mountain West Transport,MC-729415,Thomas Hernandez,Luka Cipovic,Robert Workman,BOL-72155,
CW-50037,PepsiCo,PepsiCo Southeast Hub,Jacksonville,FL,32202,PepsiCo Warehouse A,Atlanta,GA,30301,2026-03-17,2026-03-17,Reefer,36000,350,2240,1659,202,379,16.9,6.40,delivered,Beverages,Eagle Freight Inc,MC-391054,Robert Garcia,Natasa Parenta,Brendaly Rivera,PO-38319,34F
CW-50038,Target,Target Regional DC,Atlanta,GA,30301,Target Distribution Center,Tampa,FL,33602,2026-03-17,2026-03-18,Dry Van,25000,470,2632,1948,237,447,17.0,5.60,delivered,Seasonal Products,Swift Transport LLC,MC-284927,Michael Wilson,Milos Mandic,Robert Workman,PO-83305,
CW-50039,PepsiCo,PepsiCo Beverages DC,Tampa,FL,33602,PepsiCo Distribution Center,Cleveland,OH,44101,2026-03-17,2026-03-19,Reefer,40000,1060,6784,5878,611,-705,-10.4,6.40,delivered,Beverages,Buckeye Freight Systems,MC-256783,Jose Thomas,Luka Cipovic,Brendaly Rivera,BOL-44558,34F
CW-50040,Spartan Nash,Spartan Nash Regional Warehouse,Detroit,MI,48201,Spartan Nash DC Grand Rapids,Grand Rapids,MI,49501,2026-03-17,2026-03-17,Reefer,34000,75,900,702,72,126,14.0,12.00,delivered,Grocery Products,Wolverine Freight Inc,MC-112349,Daniel Martin,Natasa Parenta,Ilija Tojagic,PO-51944,34F
CW-50041,PepsiCo,Gatorade Production Facility,Lakeland,FL,33801,PepsiCo Regional Hub,Roanoke,VA,24011,2026-03-17,2026-03-19,Reefer,38000,780,4992,3844,449,699,14.0,6.40,delivered,Sports Drinks,Blue Ridge Transport,MC-123450,Mark Anderson,Milos Mandic,Brendaly Rivera,PO-38325,34F
CW-50042,Performance Food Group,PFG Foodservice Warehouse,Norfolk,VA,23501,PFG Southeast DC,Greensboro,NC,27401,2026-03-17,2026-03-18,Reefer,31000,200,1280,947,115,218,17.0,6.40,delivered,Frozen Entrees,Cardinal Logistics LLC,MC-678905,Steven Garcia,Luka Cipovic,Ilija Tojagic,BOL-67858,-10F
CW-50043,PepsiCo,PepsiCo Beverages DC,Tampa,FL,33602,PepsiCo Cold Storage Facility,Raleigh,NC,27601,2026-03-18,2026-03-19,Reefer,42000,640,4096,3031,369,696,17.0,6.40,delivered,Beverages,Carolina Freight Corp,MC-667895,James Hernandez,Natasa Parenta,Brendaly Rivera,PO-38328,34F
CW-50044,Coca-Cola,Coca-Cola Distribution Center,Savannah,GA,31401,Coca-Cola Bottling Consolidated,Norfolk,VA,23501,2026-03-18,2026-03-19,Reefer,43000,520,3328,2463,300,565,17.0,6.40,delivered,Bottled Water,Patriot Trucking Corp,MC-502187,Carlos Wilson,Milos Mandic,Brendaly Rivera,PO-29407,34F
CW-50045,PepsiCo,Frito-Lay Distribution,Atlanta,GA,30301,PepsiCo Distribution Center,Jacksonville,FL,32202,2026-03-18,2026-03-18,Reefer,35000,350,2240,1659,202,379,16.9,6.40,delivered,Snack Foods,Gulf Coast Carriers,MC-334561,William Lopez,Luka Cipovic,Brendaly Rivera,BOL-44565,34F
CW-50046,FedEx Ground,FedEx Ground Sort Facility,Harrisburg,PA,17101,FedEx Ground Distribution,Newark,NJ,07102,2026-03-18,2026-03-18,Dry Van,23000,180,1008,746,91,171,17.0,5.60,delivered,Ground Parcels,Tri-State Hauling Inc,MC-345672,Pedro Brown,Natasa Parenta,Robert Workman,BOL-78256,
CW-50047,PepsiCo,PepsiCo Tampa Warehouse,Tampa,FL,33602,PepsiCo Warehouse A,Columbus,OH,43201,2026-03-18,2026-03-20,Reefer,39000,940,6016,4632,541,843,14.0,6.40,delivered,Beverages,Buckeye Freight Systems,MC-256783,Michael Martinez,Milos Mandic,Brendaly Rivera,PO-38334,34F
CW-50048,Kroger,Kroger Fresh Foods DC,Cleveland,OH,44101,Kroger Distribution Center,Lansing,MI,48901,2026-03-18,2026-03-18,Reefer,33000,230,1472,1089,133,250,17.0,6.40,delivered,Bakery Items,Great Lakes Express,MC-801238,David Anderson,Luka Cipovic,Ilija Tojagic,PO-55907,34F
CW-50049,PepsiCo,PepsiCo Southeast Hub,Orlando,FL,32801,PepsiCo Distribution Center,Augusta,GA,30901,2026-03-18,2026-03-18,Reefer,37000,340,2176,1610,196,370,17.0,6.40,delivered,Beverages,Copperhead Carriers,MC-223451,Thomas Davis,Natasa Parenta,Brendaly Rivera,BOL-44570,34F
CW-50050,Boise Paper,Boise Cascade Packaging,Boise,ID,83701,Boise Paper Distribution,Dallas,TX,75201,2026-03-18,2026-03-21,Flatbed,45000,1540,7700,7469,577,-346,-4.5,5.00,in_transit,Paper Products,Lone Star Freight,MC-912349,Robert Thomas,Milos Mandic,Robert Workman,PO-72160,
CW-50051,Coca-Cola,Coca-Cola Distribution Center,Atlanta,GA,30301,Coca-Cola Southeast Plant,Greenville,SC,29601,2026-03-18,2026-03-19,Reefer,42000,170,1088,806,98,184,16.9,6.40,delivered,Beverages,Eagle Freight Inc,MC-391054,Jose Martin,Luka Cipovic,Brendaly Rivera,BOL-29410,34F
CW-50052,Spartan Nash,Spartan Nash DC Grand Rapids,Grand Rapids,MI,49501,Spartan Nash Distribution,Cincinnati,OH,45201,2026-03-18,2026-03-19,Reefer,35000,290,1856,1374,167,315,17.0,6.40,delivered,Frozen Foods,Redline Freight Corp,MC-667894,Daniel Wilson,Natasa Parenta,Ilija Tojagic,BOL-51950,-10F
CW-50053,PepsiCo,Gatorade Production Facility,Tampa,FL,33602,PepsiCo Cross-Dock Facility,Philadelphia,PA,19101,2026-03-18,2026-03-20,Reefer,41000,1020,6528,5026,587,915,14.0,6.40,delivered,Sports Drinks,Keystone Carriers Inc,MC-367894,Mark Lopez,Milos Mandic,Brendaly Rivera,PO-38343,34F
CW-50054,Target,Target Import Warehouse,Newark,NJ,07102,Target Regional DC,Atlanta,GA,30301,2026-03-18,2026-03-19,Dry Van,27000,760,4256,3149,383,724,17.0,5.60,delivered,General Merchandise,Swift Transport LLC,MC-284927,Steven Hernandez,Luka Cipovic,Robert Workman,PO-83312,
CW-50055,PepsiCo,PepsiCo Beverages DC,Jacksonville,FL,32202,PepsiCo Warehouse A,Miami,FL,33101,2026-03-18,2026-03-18,Reefer,34000,90,990,774,79,137,13.8,11.00,delivered,Beverages,Sunbelt Carriers LLC,MC-618342,Victor Anderson,Natasa Parenta,Brendaly Rivera,BOL-44578,34F
CW-50056,Coca-Cola,Coca-Cola Bottling Consolidated,Atlanta,GA,30301,Coca-Cola Distribution Center,Richmond,VA,23219,2026-03-18,2026-03-19,Reefer,43000,540,3456,2488,311,657,19.0,6.40,delivered,Beverages,Cardinal Logistics LLC,MC-678905,James Brown,Milos Mandic,Brendaly Rivera,PO-29414,34F
CW-50057,Kroger,Kroger Distribution Center,Columbus,OH,43201,Kroger Peyton Distribution,Detroit,MI,48201,2026-03-18,2026-03-19,Reefer,33000,200,1280,947,115,218,17.0,6.40,delivered,Grocery Products,Great Lakes Express,MC-801238,Carlos Thomas,Luka Cipovic,Ilija Tojagic,PO-55910,34F
CW-50058,Spartan Nash,Spartan Nash Distribution,Lansing,MI,48901,Spartan Nash DC Grand Rapids,Grand Rapids,MI,49501,2026-03-18,2026-03-18,Reefer,34000,62,868,642,78,148,17.1,14.00,delivered,Grocery Products,Wolverine Freight Inc,MC-112349,William Martin,Natasa Parenta,Ilija Tojagic,PO-51940,34F
CW-50059,Kroger,Kroger Distribution Center,Columbus,OH,43201,Kroger Peyton Distribution,Chicago,IL,60601,2026-03-18,2026-03-19,Reefer,33000,360,2304,1705,207,392,17.0,6.40,delivered,Grocery Products,Heartland Trucking Co,MC-456783,Michael Garcia,Milos Mandic,Ilija Tojagic,PO-55914,34F
CW-50060,PepsiCo,PepsiCo Southeast Hub,Tampa,FL,33602,PepsiCo Cold Storage Facility,Charlotte,NC,28201,2026-03-18,2026-03-19,Reefer,40000,570,3648,2702,328,618,16.9,6.40,delivered,Beverages,Patriot Trucking Corp,MC-502187,Pedro Williams,Luka Cipovic,Brendaly Rivera,PO-38355,34F
CW-50061,Performance Food Group,PFG Customized Distribution,Charlotte,NC,28201,PFG Foodservice Warehouse,Augusta,GA,30901,2026-03-18,2026-03-19,Reefer,30000,220,1408,1042,127,239,17.0,6.40,delivered,Fresh Produce,Copperhead Carriers,MC-223451,Robert Davis,Natasa Parenta,Ilija Tojagic,BOL-67865,34F
CW-50062,PepsiCo,PepsiCo Beverages DC,Orlando,FL,32801,PepsiCo Distribution Center,Nashville,TN,37201,2026-03-19,2026-03-20,Reefer,39000,670,4288,3261,386,641,14.9,6.40,delivered,Beverages,Volunteer Express Inc,MC-145672,Thomas Hernandez,Milos Mandic,Brendaly Rivera,PO-38358,34F
CW-50063,FedEx Ground,FedEx Ground Hub,Pittsburgh,PA,15201,FedEx Ground Sort Facility,Columbus,OH,43201,2026-03-19,2026-03-19,Dry Van,21000,190,1064,787,96,181,17.0,5.60,delivered,Parcel Freight,Redline Freight Corp,MC-667894,David Taylor,Luka Cipovic,Robert Workman,BOL-78267,
CW-50064,PepsiCo,Frito-Lay Distribution,Jacksonville,FL,32202,PepsiCo Warehouse A,Tampa,FL,33602,2026-03-19,2026-03-19,Reefer,34000,65,845,682,76,87,10.3,13.00,delivered,Snack Foods,Seminole Express,MC-889016,Jose Anderson,Natasa Parenta,Brendaly Rivera,PO-38361,34F
CW-50065,Spartan Nash,Spartan Nash Distribution,Detroit,MI,48201,Spartan Nash DC Grand Rapids,Grand Rapids,MI,49501,2026-03-19,2026-03-19,Reefer,33000,78,936,731,75,130,13.9,12.00,delivered,Grocery Products,Wolverine Freight Inc,MC-112349,Mark Brown,Milos Mandic,Ilija Tojagic,BOL-51957,34F
CW-50066,PepsiCo,PepsiCo Tampa Warehouse,Tampa,FL,33602,PepsiCo Distribution Center,Norfolk,VA,23501,2026-03-19,2026-03-21,Reefer,42000,760,4864,3745,438,681,14.0,6.40,delivered,Beverages,Blue Ridge Transport,MC-123450,Steven Wilson,Luka Cipovic,Brendaly Rivera,PO-38364,34F
CW-50067,Coca-Cola,Coca-Cola Distribution Center,Savannah,GA,31401,Coca-Cola Southeast Plant,Tampa,FL,33602,2026-03-19,2026-03-19,Reefer,41000,400,2560,1894,230,436,17.0,6.40,delivered,Beverages,Sunbelt Carriers LLC,MC-618342,Carlos Williams,Natasa Parenta,Brendaly Rivera,BOL-29418,34F
CW-50068,PepsiCo,PepsiCo Southeast Hub,Tampa,FL,33602,PepsiCo Store DC,Raleigh,NC,27601,2026-03-19,2026-03-20,Reefer,38000,640,4096,3031,369,696,17.0,6.40,delivered,Beverages,Carolina Freight Corp,MC-667895,William Anderson,Milos Mandic,Brendaly Rivera,PO-38367,34F
CW-50069,Target,Target Distribution Center,Atlanta,GA,30301,Target Regional DC,Charleston,SC,29401,2026-03-19,2026-03-19,Dry Van,26000,300,1680,1243,151,286,17.0,5.60,delivered,Household Goods,Eagle Freight Inc,MC-391054,Michael Lopez,Luka Cipovic,Robert Workman,PO-83319,
CW-50070,PepsiCo,PepsiCo Beverages DC,Tampa,FL,33602,PepsiCo Regional Hub,Pittsburgh,PA,15201,2026-03-19,2026-03-21,Reefer,43000,1010,6464,5586,582,-704,-10.9,6.40,delivered,Beverages,Keystone Carriers Inc,MC-367894,Daniel Martin,Natasa Parenta,Brendaly Rivera,BOL-44598,34F
CW-50071,Boise Paper,Boise Paper Mill,Boise,ID,83701,Boise Paper Distribution,Houston,TX,77001,2026-03-19,2026-03-22,Flatbed,46000,1680,8400,8148,630,-378,-4.5,5.00,delivered,Paper Products,Lone Star Freight,MC-912349,Thomas Moore,Milos Mandic,Robert Workman,PO-72165,
CW-50072,Target,Target Distribution Center,Atlanta,GA,30301,Target Regional DC,Tampa,FL,33602,2026-03-19,2026-03-20,Dry Van,26000,470,2632,1948,237,447,17.0,5.60,delivered,General Merchandise,Gulf Coast Carriers,MC-334561,Robert Garcia,Luka Cipovic,Robert Workman,PO-83322,
CW-50073,Performance Food Group,PFG Foodservice Warehouse,Richmond,VA,23219,PFG Customized Distribution,Norfolk,VA,23501,2026-03-19,2026-03-19,Reefer,29000,92,920,726,74,120,13.0,10.00,delivered,Restaurant Supplies,Cardinal Logistics LLC,MC-678905,James Martinez,Natasa Parenta,Ilija Tojagic,BOL-67872,34F
CW-50074,PepsiCo,PepsiCo Beverages DC,Tampa,FL,33602,PepsiCo Distribution Center,Grand Rapids,MI,49501,2026-03-19,2026-03-21,Reefer,40000,1140,7296,5617,657,1022,14.0,6.40,delivered,Beverages,Great Lakes Express,MC-801238,Jose Davis,Milos Mandic,Brendaly Rivera,PO-38376,34F
CW-50075,Spartan Nash,Spartan Nash DC Grand Rapids,Grand Rapids,MI,49501,Spartan Nash Regional Warehouse,Pittsburgh,PA,15201,2026-03-19,2026-03-20,Reefer,34000,480,3072,2273,277,522,17.0,6.40,delivered,Dairy Products,Keystone Carriers Inc,MC-367894,Victor Taylor,Luka Cipovic,Ilija Tojagic,PO-51964,34F
CW-50076,PepsiCo,Frito-Lay Distribution,Atlanta,GA,30301,PepsiCo Cross-Dock Facility,Charlotte,NC,28201,2026-03-19,2026-03-19,Reefer,35000,250,1600,1184,144,272,17.0,6.40,delivered,Snack Foods,Patriot Trucking Corp,MC-502187,Pedro Anderson,Natasa Parenta,Brendaly Rivera,BOL-44605,34F
CW-50077,FedEx Ground,FedEx Ground Distribution,Edison,NJ,08817,FedEx Ground Hub,Richmond,VA,23219,2026-03-19,2026-03-20,Dry Van,24000,330,1848,1368,166,314,17.0,5.60,delivered,E-Commerce Packages,Tri-State Hauling Inc,MC-345672,Steven Brown,Milos Mandic,Robert Workman,PO-78272,
CW-50078,Performance Food Group,PFG Customized Distribution,Charlotte,NC,28201,PFG Foodservice Warehouse,Charleston,SC,29401,2026-03-19,2026-03-20,Reefer,31000,200,1280,947,115,218,17.0,6.40,delivered,Restaurant Supplies,Eagle Freight Inc,MC-391054,Mark Hernandez,Luka Cipovic,Ilija Tojagic,BOL-67870,34F
CW-50079,Coca-Cola,Coca-Cola Bottling Consolidated,Atlanta,GA,30301,Coca-Cola Distribution Center,Greensboro,NC,27401,2026-03-19,2026-03-20,Reefer,42000,340,2176,1610,196,370,17.0,6.40,delivered,Syrup Concentrate,Carolina Freight Corp,MC-667895,David Williams,Natasa Parenta,Brendaly Rivera,BOL-29425,34F
CW-50080,PepsiCo,PepsiCo Southeast Hub,Jacksonville,FL,32202,PepsiCo Distribution Center,Miami,FL,33101,2026-03-20,2026-03-20,Reefer,36000,55,880,710,79,91,10.3,16.00,delivered,Beverages,Seminole Express,MC-889016,Thomas Lopez,Milos Mandic,Brendaly Rivera,PO-38385,34F
CW-50081,Kroger,Kroger Distribution Center,Cincinnati,OH,45201,Kroger Fresh Foods DC,Columbus,OH,43201,2026-03-20,2026-03-20,Reefer,32000,108,864,640,78,146,16.9,8.00,delivered,Grocery Products,Buckeye Freight Systems,MC-256783,Carlos Martin,Luka Cipovic,Ilija Tojagic,PO-55921,34F
