order_id,orderline_id,sku,quantity,picking_unit,unit_of_measure,order_type,order_date,picking_date,ship_date,ship_time,customer_id,shipping_method
SO-100002,SO-100002-6,10354,21,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,10:50:00,CUST-0082,CEP
SO-100002,SO-100002-7,10387,20,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,10:50:00,CUST-0082,CEP
SO-100002,SO-100002-8,10330,20,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,10:50:00,CUST-0082,CEP
SO-100002,SO-100002-9,10001,14,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,10:50:00,CUST-0082,CEP
SO-100002,SO-100002-10,10233,20,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,10:50:00,CUST-0082,CEP
SO-100003,SO-100003-1,10144,19,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,09:36:00,CUST-0060,Freight
SO-100003,SO-100003-2,10182,24,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,09:36:00,CUST-0060,Freight
SO-100003,SO-100003-3,10065,6,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,09:36:00,CUST-0060,Freight
SO-100003,SO-100003-4,10159,9,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,09:36:00,CUST-0060,Freight
SO-100003,SO-100003-5,10145,1,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,09:36:00,CUST-0060,Freight
SO-100003,SO-100003-6,10463,2,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,09:36:00,CUST-0060,Freight
SO-100003,SO-100003-7,10201,20,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,09:36:00,CUST-0060,Freight
SO-100003,SO-100003-8,10376,18,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,09:36:00,CUST-0060,Freight
SO-100003,SO-100003-9,10424,17,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,09:36:00,CUST-0060,Freight
SO-100003,SO-100003-10,10359,12,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,09:36:00,CUST-0060,Freight
SO-100003,SO-100003-11,10219,19,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,09:36:00,CUST-0060,Freight
SO-100003,SO-100003-12,10407,18,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,09:36:00,CUST-0060,Freight
SO-100003,SO-100003-13,10111,15,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,09:36:00,CUST-0060,Freight
SO-100003,SO-100003-14,10365,9,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,09:36:00,CUST-0060,Freight
SO-100004,SO-100004-1,10007,17,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,13:49:00,CUST-0161,Freight
SO-100004,SO-100004-2,10469,14,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,13:49:00,CUST-0161,Freight
SO-100004,SO-100004-3,10171,23,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,13:49:00,CUST-0161,Freight
SO-100004,SO-100004-4,10094,14,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,13:49:00,CUST-0161,Freight
SO-100004,SO-100004-5,10014,23,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,13:49:00,CUST-0161,Freight
SO-100004,SO-100004-6,10382,8,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,13:49:00,CUST-0161,Freight
SO-100004,SO-100004-7,10232,8,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,13:49:00,CUST-0161,Freight
SO-100004,SO-100004-8,10141,4,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,13:49:00,CUST-0161,Freight
SO-100004,SO-100004-9,10170,24,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,13:49:00,CUST-0161,Freight
SO-100004,SO-100004-10,10424,5,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,13:49:00,CUST-0161,Freight
SO-100004,SO-100004-11,10285,10,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,13:49:00,CUST-0161,Freight
SO-100004,SO-100004-12,10152,19,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,13:49:00,CUST-0161,Freight
SO-100004,SO-100004-13,10486,18,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,13:49:00,CUST-0161,Freight
SO-100004,SO-100004-14,10304,11,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,13:49:00,CUST-0161,Freight
SO-100005,SO-100005-1,10446,16,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,14:14:00,CUST-0119,Freight
SO-100005,SO-100005-2,10448,3,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,14:14:00,CUST-0119,Freight
SO-100005,SO-100005-3,10034,19,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,14:14:00,CUST-0119,Freight
SO-100005,SO-100005-4,10250,20,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,14:14:00,CUST-0119,Freight
SO-100006,SO-100006-1,10182,8,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,08:37:00,CUST-0153,Air Freight
SO-100006,SO-100006-2,10403,3,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,08:37:00,CUST-0153,Air Freight
SO-100006,SO-100006-3,10420,3,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,08:37:00,CUST-0153,Air Freight
SO-100006,SO-100006-4,10324,17,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,08:37:00,CUST-0153,Air Freight
SO-100006,SO-100006-5,10141,8,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,08:37:00,CUST-0153,Air Freight
SO-100006,SO-100006-6,10159,18,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,08:37:00,CUST-0153,Air Freight
SO-100006,SO-100006-7,10473,14,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,08:37:00,CUST-0153,Air Freight
SO-100006,SO-100006-8,10003,8,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,08:37:00,CUST-0153,Air Freight
SO-100006,SO-100006-9,10429,21,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,08:37:00,CUST-0153,Air Freight
SO-100006,SO-100006-10,10086,8,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,08:37:00,CUST-0153,Air Freight
SO-100006,SO-100006-11,10373,5,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,08:37:00,CUST-0153,Air Freight
SO-100007,SO-100007-1,10408,9,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,08:08:00,CUST-0178,Freight
SO-100007,SO-100007-2,10175,6,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,08:08:00,CUST-0178,Freight
SO-100007,SO-100007-3,10327,4,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,08:08:00,CUST-0178,Freight
SO-100007,SO-100007-4,10200,8,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,08:08:00,CUST-0178,Freight
SO-100007,SO-100007-5,10412,16,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,08:08:00,CUST-0178,Freight
SO-100007,SO-100007-6,10376,23,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,08:08:00,CUST-0178,Freight
SO-100007,SO-100007-7,10054,17,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,08:08:00,CUST-0178,Freight
SO-100008,SO-100008-1,10245,11,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,14:58:00,CUST-0037,CEP
SO-100008,SO-100008-2,10276,10,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,14:58:00,CUST-0037,CEP
SO-100008,SO-100008-3,10087,6,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,14:58:00,CUST-0037,CEP
SO-100008,SO-100008-4,10161,1,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,14:58:00,CUST-0037,CEP
SO-100008,SO-100008-5,10218,19,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,14:58:00,CUST-0037,CEP
SO-100008,SO-100008-6,10004,22,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,14:58:00,CUST-0037,CEP
SO-100009,SO-100009-1,10288,11,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,17:44:00,CUST-0116,Freight
SO-100009,SO-100009-2,10451,20,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,17:44:00,CUST-0116,Freight
SO-100009,SO-100009-3,10407,11,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,17:44:00,CUST-0116,Freight
SO-100009,SO-100009-4,10364,19,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,17:44:00,CUST-0116,Freight
SO-100009,SO-100009-5,10069,21,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,17:44:00,CUST-0116,Freight
SO-100009,SO-100009-6,10270,22,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,17:44:00,CUST-0116,Freight
SO-100010,SO-100010-1,10447,9,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,06:40:00,CUST-0008,Freight
SO-100010,SO-100010-2,10440,18,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,06:40:00,CUST-0008,Freight
SO-100010,SO-100010-3,10329,10,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,06:40:00,CUST-0008,Freight
SO-100010,SO-100010-4,10243,23,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,06:40:00,CUST-0008,Freight
SO-100010,SO-100010-5,10005,15,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,06:40:00,CUST-0008,Freight
SO-100010,SO-100010-6,10398,24,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,06:40:00,CUST-0008,Freight
SO-100010,SO-100010-7,10339,8,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,06:40:00,CUST-0008,Freight
SO-100010,SO-100010-8,10173,7,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,06:40:00,CUST-0008,Freight
SO-100010,SO-100010-9,10285,11,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,06:40:00,CUST-0008,Freight
SO-100011,SO-100011-1,10177,21,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100011,SO-100011-2,10083,6,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100011,SO-100011-3,10202,6,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100011,SO-100011-4,10291,21,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100011,SO-100011-5,10426,4,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100011,SO-100011-6,10057,23,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100011,SO-100011-7,10007,23,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100011,SO-100011-8,10379,11,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100011,SO-100011-9,10296,3,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100011,SO-100011-10,10190,20,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100011,SO-100011-11,10190,2,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100011,SO-100011-12,10238,8,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100011,SO-100011-13,10212,15,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100011,SO-100011-14,10085,9,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100011,SO-100011-15,10133,23,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,12:53:00,CUST-0116,Freight
SO-100012,SO-100012-1,10400,1,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,15:06:00,CUST-0091,Freight
SO-100012,SO-100012-2,10055,5,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,15:06:00,CUST-0091,Freight
SO-100013,SO-100013-1,10060,13,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100013,SO-100013-2,10398,11,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100013,SO-100013-3,10366,7,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100013,SO-100013-4,10207,9,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100013,SO-100013-5,10069,23,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100013,SO-100013-6,10370,14,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100013,SO-100013-7,10389,17,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100013,SO-100013-8,10469,24,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100013,SO-100013-9,10179,24,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100013,SO-100013-10,10164,17,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100013,SO-100013-11,10227,21,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100013,SO-100013-12,10430,9,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100013,SO-100013-13,10335,18,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100013,SO-100013-14,10497,4,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100013,SO-100013-15,10348,16,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,17:39:00,CUST-0002,Air Freight
SO-100014,SO-100014-1,10322,19,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,13:52:00,CUST-0072,CEP
SO-100014,SO-100014-2,10408,3,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,13:52:00,CUST-0072,CEP
SO-100014,SO-100014-3,10108,14,case,piece,e-com,2024-01-02,2024-01-02,2024-01-02,13:52:00,CUST-0072,CEP
SO-100014,SO-100014-4,10179,10,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,13:52:00,CUST-0072,CEP
SO-100014,SO-100014-5,10348,2,single,piece,e-com,2024-01-02,2024-01-02,2024-01-02,13:52:00,CUST-0072,CEP
SO-100015,SO-100015-1,10047,24,case,piece,e-com,2024-01-03,2024-01-03,2024-01-03,13:17:00,CUST-0088,Air Freight
SO-100015,SO-100015-2,10423,16,case,piece,e-com,2024-01-03,2024-01-03,2024-01-03,13:17:00,CUST-0088,Air Freight
SO-100015,SO-100015-3,10239,15,case,piece,e-com,2024-01-03,2024-01-03,2024-01-03,13:17:00,CUST-0088,Air Freight
SO-100015,SO-100015-4,10478,18,case,piece,e-com,2024-01-03,2024-01-03,2024-01-03,13:17:00,CUST-0088,Air Freight
SO-100015,SO-100015-5,10039,19,case,piece,e-com,2024-01-03,2024-01-03,2024-01-03,13:17:00,CUST-0088,Air Freight
SO-100015,SO-100015-6,10427,7,single,piece,e-com,2024-01-03,2024-01-03,2024-01-03,13:17:00,CUST-0088,Air Freight
SO-100015,SO-100015-7,10416,9,single,piece,e-com,2024-01-03,2024-01-03,2024-01-03,13:17:00,CUST-0088,Air Freight
SO-100015,SO-100015-8,10476,10,single,piece,e-com,2024-01-03,2024-01-03,2024-01-03,13:17:00,CUST-0088,Air Freight
SO-100015,SO-100015-9,10461,11,single,piece,e-com,2024-01-03,2024-01-03,2024-01-03,13:17:00,CUST-0088,Air Freight
SO-100015,SO-100015-10,10128,21,case,piece,e-com,2024-01-03,2024-01-03,2024-01-03,13:17:00,CUST-0088,Air Freight
SO-100015,SO-100015-11,10023,14,case,piece,e-com,2024-01-03,2024-01-03,2024-01-03,13:17:00,CUST-0088,Air Freight
SO-100015,SO-100015-12,10391,17,case,piece,e-com,2024-01-03,2024-01-03,2024-01-03,13:17:00,CUST-0088,Air Freight
SO-100015,SO-100015-13,10010,2,single,piece,e-com,2024-01-03,2024-01-03,2024-01-03,13:17:00,CUST-0088,Air Freight
SO-100015,SO-100015-14,10369,17,case,piece,e-com,2024-01-03,2024-01-03,2024-01-03,13:17:00,CUST-0088,Air Freight
SO-100016,SO-100016-1,10188,17,case,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100016,SO-100016-2,10216,17,case,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100016,SO-100016-3,10272,22,case,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100016,SO-100016-4,10457,9,single,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100016,SO-100016-5,10260,10,single,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100016,SO-100016-6,10280,14,case,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100016,SO-100016-7,10190,19,case,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100016,SO-100016-8,10001,21,case,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100016,SO-100016-9,10141,16,case,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100016,SO-100016-10,10225,5,single,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100016,SO-100016-11,10266,12,single,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100016,SO-100016-12,10190,22,case,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100016,SO-100016-13,10005,11,single,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100016,SO-100016-14,10392,24,case,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100016,SO-100016-15,10305,17,case,piece,first allocation,2024-01-03,2024-01-03,2024-01-03,09:25:00,CUST-0002,CEP
SO-100017,SO-100017-1,10421,24,case,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,17:48:00,CUST-0176,CEP
SO-100017,SO-100017-2,10278,7,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,17:48:00,CUST-0176,CEP
SO-100017,SO-100017-3,10328,7,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,17:48:00,CUST-0176,CEP
SO-100017,SO-100017-4,10055,2,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,17:48:00,CUST-0176,CEP
SO-100017,SO-100017-5,10126,17,case,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,17:48:00,CUST-0176,CEP
SO-100017,SO-100017-6,10412,8,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,17:48:00,CUST-0176,CEP
SO-100017,SO-100017-7,10260,3,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,17:48:00,CUST-0176,CEP
SO-100018,SO-100018-1,10201,9,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,16:49:00,CUST-0189,Freight
SO-100018,SO-100018-2,10259,4,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,16:49:00,CUST-0189,Freight
SO-100018,SO-100018-3,10457,18,case,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,16:49:00,CUST-0189,Freight
SO-100018,SO-100018-4,10489,19,case,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,16:49:00,CUST-0189,Freight
SO-100019,SO-100019-1,10143,11,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,10:01:00,CUST-0157,CEP
SO-100019,SO-100019-2,10360,3,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,10:01:00,CUST-0157,CEP
SO-100019,SO-100019-3,10361,22,case,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,10:01:00,CUST-0157,CEP
SO-100019,SO-100019-4,10176,12,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,10:01:00,CUST-0157,CEP
SO-100019,SO-100019-5,10039,13,case,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,10:01:00,CUST-0157,CEP
SO-100019,SO-100019-6,10366,23,case,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,10:01:00,CUST-0157,CEP
SO-100019,SO-100019-7,10195,21,case,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,10:01:00,CUST-0157,CEP
SO-100020,SO-100020-1,10396,19,case,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,14:02:00,CUST-0001,Freight
SO-100021,SO-100021-1,10329,11,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,13:25:00,CUST-0152,CEP
SO-100021,SO-100021-2,10383,1,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,13:25:00,CUST-0152,CEP
SO-100021,SO-100021-3,10360,2,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,13:25:00,CUST-0152,CEP
SO-100021,SO-100021-4,10135,9,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,13:25:00,CUST-0152,CEP
SO-100021,SO-100021-5,10205,21,case,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,13:25:00,CUST-0152,CEP
SO-100022,SO-100022-1,10021,7,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,12:28:00,CUST-0175,Freight
SO-100023,SO-100023-1,10091,15,case,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,10:55:00,CUST-0196,Freight
SO-100023,SO-100023-2,10312,9,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,10:55:00,CUST-0196,Freight
SO-100023,SO-100023-3,10474,20,case,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,10:55:00,CUST-0196,Freight
SO-100023,SO-100023-4,10071,23,case,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,10:55:00,CUST-0196,Freight
SO-100023,SO-100023-5,10339,5,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,10:55:00,CUST-0196,Freight
SO-100023,SO-100023-6,10330,6,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,10:55:00,CUST-0196,Freight
SO-100023,SO-100023-7,10022,7,single,piece,store replenishment,2024-01-03,2024-01-03,2024-01-03,10:55:00,CUST-0196,Freight
SO-100024,SO-100024-1,10459,2,single,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,11:59:00,CUST-0080,CEP
SO-100024,SO-100024-2,10161,1,single,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,11:59:00,CUST-0080,CEP
SO-100024,SO-100024-3,10339,18,case,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,11:59:00,CUST-0080,CEP
SO-100024,SO-100024-4,10447,16,case,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,11:59:00,CUST-0080,CEP
SO-100024,SO-100024-5,10399,17,case,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,11:59:00,CUST-0080,CEP
SO-100024,SO-100024-6,10432,16,case,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,11:59:00,CUST-0080,CEP
SO-100024,SO-100024-7,10161,7,single,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,11:59:00,CUST-0080,CEP
SO-100024,SO-100024-8,10194,20,case,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,11:59:00,CUST-0080,CEP
SO-100024,SO-100024-9,10271,14,case,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,11:59:00,CUST-0080,CEP
SO-100024,SO-100024-10,10284,19,case,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,11:59:00,CUST-0080,CEP
SO-100024,SO-100024-11,10191,21,case,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,11:59:00,CUST-0080,CEP
SO-100024,SO-100024-12,10263,16,case,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,11:59:00,CUST-0080,CEP
SO-100024,SO-100024-13,10317,14,case,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,11:59:00,CUST-0080,CEP
SO-100024,SO-100024-14,10336,6,single,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,11:59:00,CUST-0080,CEP
SO-100025,SO-100025-1,10252,20,case,piece,store replenishment,2024-01-04,2024-01-04,2024-01-04,10:28:00,CUST-0172,Air Freight
